"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",283157,8678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"2",0,315724,0,0,0,0,2563,0,16265,0,0,0,681,0,0,0,0,3863,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,49346,0,1196,825,0,0,14675,0,0,0,0,41,0,0,48818,0,0,0,0,0
"5",0,0,0,2389,77284,5610,0,0,0,110,0,0,0,0,0,0,0,827,0,0,0,0,0
"6",0,0,0,1430,0,79522,531,0,0,0,0,0,0,42,131,0,0,2817,0,0,0,0,0
"7",0,0,0,5495,135,1064,306842,2357,43,6628,0,0,4,0,0,0,0,235349,0,0,0,0,0
"8",0,0,0,0,0,0,34,864020,19,8333,0,1000,6702,136,0,425,0,24882,56,0,0,0,13
"9",0,0,0,0,0,0,12331,23452,358176,46420,0,11046,22191,0,0,46,0,34804,0,0,0,0,0
"10",0,0,0,0,0,0,4467,121404,36,819629,0,9343,346,3058,474,106,0,61830,29,0,3,0,0
"11",0,0,0,0,0,0,1438,28001,1448,19568,129541,0,1372,2980,10,245,0,1892,0,0,433,0,0
"12",0,0,0,0,0,0,487,27795,0,5129,0,477892,19475,63,0,796,143,9054,179,16,0,0,0
"13",0,0,0,0,0,0,1,42119,1652,1351,0,4254,2736223,1156,0,3108,0,6580,4803,206,0,0,132
"14",0,0,0,0,0,0,0,11344,0,2111,0,0,44,408129,838,88,0,1319,0,7,0,0,0
"15",0,0,0,0,0,0,0,1686,0,0,0,0,0,0,58260,0,0,15,0,0,0,0,0
"16",0,0,0,0,0,0,0,2139,492,126,0,40,668,196,141,162967,0,87,0,20,0,0,94
"17",0,0,0,0,0,0,0,0,0,0,0,92,92,192,0,1113,53900,0,0,0,0,0,0
"18",0,0,0,0,0,0,9327,31610,528,3395,28,6685,1150,2933,75,578,0,212065,0,0,0,0,0
"19",0,0,0,0,0,0,0,633,2525,411,0,0,0,0,0,16,0,285,25028,4,0,0,0
"20",0,0,0,0,0,0,0,291,0,7975,0,4,179,20,0,6,0,19,41,71597,266,0,0
"21",0,0,0,0,0,0,0,8707,0,20049,0,0,15,0,47,13,0,8962,0,0,121035,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,239
