"PDRB_2016","PDRB_2017","PDRB_2018","PDRB_2019","PDRB_2020","PDRB_2021","PDRB_2022","PDRB_2023","PDRB_2024","PDRB_2025","PDRB_2026","PDRB_2027","PDRB_2028","PDRB_2029","PDRB_2030"
76793125.2385602,80632807.9235378,84664475.0248808,88897725.5360649,93342638.4216021,98009796.5299603,102910313.009725,108055855.725937,113458675.073405,119131635.784129,125088244.104972,131342682.954822,137909843.246143,144805361.986357,152045657.432867
223443.26760296,234615.748455687,246346.984211623,258664.69326841,271598.090094108,285178.30307852,299437.614509378,314409.580173905,330130.618302215,346637.33100077,363969.341434926,382168.178732091,401276.929549591,421341.15341771,442408.55181032
1315.44261938897,1381.26458487825,1450.78614001247,1523.26182719763,1599.76976500529,1680.035049522,1764.24545738051,1852.59838370967,1945.30086070279,2042.57026642798,2145.08909711185,2252.64299548991,2365.4839405995,2483.87599970337,2608.09687166838
8939884.49299969,9386882.00143025,9856229.27514488,10349044.1955526,10866499.836595,11409828.0157835,11980322.437007,12579341.8434841,13208312.276693,13868731.2497048,14562171.0704704,15290283.1338056,16054800.2802018,16857543.6775825,17700424.3019535
3412868.86717662,3583517.1127525,3762698.12377936,3950838.41894382,4148385.34909164,4355809.62506848,4573605.47350695,4802290.75686595,5042410.39408598,5294535.94455301,5559267.81578912,5837236.1855629,6129103.33149459,6435563.36355116,6757346.63126442
6642330.20271683,6974451.21709332,7323177.46348323,7689340.62845179,8073811.43229511,8477506.68575391,8901386.04050612,9346459.21747143,9813786.34557261,10304479.6457554,10819708.0937051,11360697.1752884,11928736.3324984,12525177.5161347,13151440.686924
33605691.3054705,35285997.4106903,37050318.9130524,38902856.3260809,40848020.710397,42890442.8802309,45034986.3974699,47286757.3799533,49651116.6620149,52133694.1488381,54740400.2136391,57477441.6161667,60351335.0009082,63368923.5530992,66537391.1474045
41939652.2520382,44036661.1586235,46238519.809252,48550471.5812685,50978021.1472431,53526948.1473456,56203321.4731675,59013512.9283329,61964214.339157,65062450.9629776,68315599.2934847,71731405.3795102,75318001.6719195,79083926.8024259,83038149.1268892
31829343.5535844,33420835.6139167,35091903.5158585,36846524.3831685,38688875.9279847,40623345.4676429,42654538.384971,44787291.0502454,47026681.7327625,49378041.4759037,51846968.7886646,54439343.3645253,57161335.7718754,60019427.8674518,63020424.8916291
3357711.1554318,3525600.93169827,3701885.33156346,3886983.93350833,4081338.01537671,4285409.23293899,4499683.79446607,4724672.13962741,4960909.93987254,5208960.06963913,5469412.30384214,5742887.47111046,6030035.60899519,6331541.87882439,6648123.16493953
4992477.02222937,5242109.22132486,5504223.48366649,5779442.66078729,6068423.40507647,6371853.6693544,6690454.24011311,7024986.11259469,7376243.90964879,7745064.04766589,8132325.76529494,8538951.20669514,8965907.14546779,9414211.12692734,9884930.02155975
552510.267295593,580140.502401978,609151.963619293,639614.212456418,671599.974487484,705184.553487797,740448.177206843,777475.450629541,816354.08968348,857175.833705279,900039.528298035,945046.30348064,992303.37367267,1041922.8674085,1094024.20340276
14970228.4767523,15718749.6555859,16504696.3198927,17329940.2156519,18196446.3959438,19106277.4436807,20061600.4443826,21064689.548391,22117933.0222433,23223839.4252301,24385040.2976709,25604301.8052912,26884525.6651819,28228760.9388615,29640208.6519431
6623765.98399751,6954962.47137307,7302718.41869032,7667862.51729428,8051263.23590595,8453834.53085345,8876534.21562247,9320369.26831247,9786395.74999198,10275724.120688,10789518.0540885,11329002.1082959,11895460.4324934,12490241.2068358,13114761.5892685
38373749.1140986,40292437.8039884,42307060.6735303,44422414.516573,46643536.5059924,48975714.9224247,51424501.8682529,53995727.9690646,56695515.7647204,59530292.4931724,62506808.0903984,65632149.9560767,68913758.3953978,72359447.2885963,75977420.8869548
40473700.9065132,42497386.7003506,44622257.0845851,46853370.1507715,49196039.2054686,51655842.2831814,54238635.0100246,56950566.8393091,59798095.9295594,62788001.3733662,65927402.1223793,69223772.5755166,72684962.18729,76319211.0761018,80135171.6747545
11098210.3051752,11653121.3199682,12235777.7197292,12847567.2002842,13489945.821298,14164443.3504811,14872665.7539503,15616299.6116026,16397115.0928335,17216970.8440895,18077819.8620355,18981711.523931,19930797.4552581,20927337.4210032,21973704.719354
28795690.6258684,30240937.8173457,31758447.2416997,33351831.7950322,35024885.278933,36781591.7367739,38626133.9698102,40562903.0170576,42596510.1592907,44731798.0666362,46973850.4945172,49328005.2610004,51799868.129318,54395323.5177014,57120551.8414898
16511.88315,17337.3374,18204.20427,19114.72228,20070.01069,21073.98691,22127.21057,23233.59908,24395.39096,25615.38436,26895.8178,28241.16832,29653.11481,31135.57468,32692.46534
