"PDRB_2016","PDRB_2017","PDRB_2018","PDRB_2019","PDRB_2020","PDRB_2021","PDRB_2022","PDRB_2023","PDRB_2024","PDRB_2025","PDRB_2026","PDRB_2027","PDRB_2028","PDRB_2029","PDRB_2030"
65842500.496211,69134736.5133933,72591584.3247041,76221274.5238411,80033621.3794615,84036992.5452221,88240532.2680393,92654248.9826578,97288651.5369973,102154774.213339,107264203.022279,112629103.273531,118262248.537496,124177051.062758,130386339.192941
25217352.4920767,26478249.825767,27802192.0206215,29192331.3399974,30652063.5781659,32185119.1920006,33794827.5800302,35485021.3865847,37259724.8821572,39123163.5505711,41079774.1589023,43134215.300372,45291378.4961592,47556399.8466763,49934580.2628706
10687547.3119539,11221956.7837343,11783086.7334647,12372273.1737926,12991308.8990089,13641363.2529722,14323920.3152925,15040605.2438264,15793124.4088794,16583269.5324323,17412921.9168888,18284056.9154998,19198748.6693456,20159175.0050702,21167205.2846177
17796161.0176561,18685982.8256544,19620295.7240468,20601324.268053,21631552.5386962,22713339.6879561,23849216.1883113,25041886.5179941,26294190.3700243,27609109.407769,28989774.3981136,30439472.6322809,31961655.7841522,33559948.0975081,35237996.3029874
2111039.06934899,2216594.37160882,2327427.43873537,2443802.15927214,2566028.51233364,2694380.93122027,2829150.97034785,2970659.51207685,3119243.48081679,3275256.6477117,3439070.47317355,3611074.98962635,3791679.73217344,3981314.71172762,4180396.23159111
1306933.85601792,1372287.20765138,1440908.21800401,1512960.27905324,1588702.15934571,1668238.59526064,1751751.84656131,1839440.76274548,1931514.12456517,2028191.14790363,2129702.03391348,2236288.45208413,2348204.20178607,2465715.72887155,2589009.49777852
15262343.9453292,16025482.0616841,16826777.0733555,17668136.842944,18551662.2274098,19479563.8051375,20453860.4501733,21476871.9352166,22551033.9942456,23678904.1597276,24863167.8276603,26106644.6829186,27412295.3740325,28783228.6075203,30222604.0052315
18279044.4095338,19193063.4881355,20152783.5121904,21160489.5323351,22219348.7481904,23331334.1927704,24498918.9075169,25724882.8620714,27012145.0108356,28363770.2698103,29782976.790957,31273143.6344142,32837818.8229938,34480727.7705184,36204960.3087546
942631.669527004,989781.767067207,1039289.36049512,1091272.34375945,1146080.04236351,1203665.91196688,1264131.07746065,1327619.50757428,1394282.35078594,1464278.34303524,1537774.13010183,1614944.70353136,1695973.81308555,1781054.37488568,1870147.53930504
8179956.90453085,8589248.35025693,9019004.36692145,9470248.18317214,9948203.26670616,10450084.30901,10977059.4133476,11530383.262182,12111373.310386,12721412.8562298,13361954.3826489,14034522.9865565,14740720.0202083,15482226.9042841,16256368.4336097
26211670.1832192,27522353.7938988,28898571.5836237,30343600.2606339,31862119.8741073,33456750.1901065,35131112.0218905,36889191.9446706,38735175.8654156,40673458.9802848,42708656.2545077,44845613.388203,47089418.3798035,49445413.6203783,51917882.011205
