"sector","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030"
52,65639327.2059604,68921220.6001827,72367208.6641161,75985544.1629588,79784807.730519,83773466.4709068,87961731.0109563,92359775.9782242,96977353.1314271,101826204.390963,106917498.215253,112263356.730758,117876508.172039,123770317.185383,129958816.649395
51,25311001.4865723,26576548.7748145,27905373.4274688,29300641.2192643,30765670.7620393,32303934.8178814,33919112.8992758,35615067.0817431,37395806.1944818,39265595.9247427,41228875.1416479,43290318.3193984,45454833.6560364,47727574.7595063,50113952.9181497
45,10654005.0870034,11186699.8992956,11746029.4522026,12333329.5821426,12949980.5659316,13597455.7780226,14277276.0622365,14991137.6785338,15740674.6474409,16527707.4971769,17354091.9899913,18221795.7074465,19132884.6107744,20089527.9592687,21094003.4751877
49,17822009.252464,18713073.5560305,19648691.0747753,20631114.3380003,21662689.0087333,22745547.5144468,23882638.581937,25076746.7787492,26330341.5083076,27646849.3141629,29029182.5105368,30480632.3667295,32004654.7157318,33604878.1821842,35285112.8219592
30,2120662.36839819,2226692.73098681,2338024.61170485,2454924.96038775,2577671.44590861,2706534.08898413,2841845.50094476,2983936.09230542,3133115.9385347,3289771.07490028,3454258.96813443,3626971.25603029,3808319.15832094,3998734.45572613,4198670.51800157
32,1301901.79280698,1366994.51844284,1435341.88036048,1507107.70231156,1582458.75940507,1661553.80760038,1744619.28357073,1831849.60212164,1923437.55356159,2019609.15527744,2120589.33721128,2226618.52824182,2337949.17882388,2454846.36193505,2577588.40420177
44,15222573.2039199,15983653.2427764,16782787.2835756,17621911.7002532,18503038.8289836,19427822.2190553,20398966.8360657,21418882.5426888,22489491.5129692,23613953.3593957,24794638.2982918,26034357.4841326,27336062.6292655,28702853.031655,30137982.954164
48,18345890.1782408,19263165.120341,20226303.8095462,21237609.9477804,22299456.0253734,23414232.2851382,24584827.3657004,25814062.1466489,27104711.7544542,28459944.6099946,29882939.1094847,31377083.3339493,32945934.7696372,34593228.7771095,36322887.4849554
46,942478.331959178,989599.986400881,1039077.72356467,1091031.36912694,1145574.00838217,1202851.59239525,1262965.93201278,1326113.30381927,1392410.30244098,1462030.44698936,1535131.59910836,1611887.80883331,1692481.82904452,1777105.55026628,1865960.45754912
47,8188744.60871292,8598170.18124773,9028067.03240929,9479480.00334001,9953280.41199948,10451260.5305814,10973411.4854748,11522080.5850309,12098173.1934928,12703081.2284411,13338234.6714575,14005145.7866247,14705402.4575503,15440671.9620222,16212704.9417177
11,26511172.3247775,27836687.4912309,29228478.4160071,30689879.4413187,32224313.3364344,33835018.0632909,35526560.4977188,37302874.5334635,39167908.9459968,41126298.5426816,43182607.6211084,45341732.1534565,47608812.912422,49989247.7093358,52488704.2460953
19,69434041.5115689,72905699.1689758,76550939.709253,80378470.6337174,84397348.7367604,88616859.9165007,93047423.0182075,97699772.8706557,102584560.2347,107713779.737626,113099460.217779,118754424.72194,124692137.451309,130926735.817146,137473064.101276
38,3175150.61841134,3333906.93378328,3500601.06492381,3675630.54237691,3859410.47184329,4052368.1941847,4254980.11907165,4467728.67721254,4691111.32723201,4925666.70956066,5171949.86106192,5430547.17013825,5702074.3446684,5987177.87792505,6286536.58784454
22,96116265.9401666,100921960.417229,105967939.618145,111266268.892195,116829504.906923,122669418.258232,128802474.111913,135242555.583196,142004339.262242,149104538.726372,156559748.166012,164387718.077633,172607086.484836,181237423.312398,190299276.981339
17,9180805.82904887,9639841.03731646,10121828.0059974,10627917.2295904,11159307.4961371,11717224.2707839,12303056.9114495,12918207.6115611,13564098.7127898,14242302.7799239,14954417.050637,15702137.0348857,16487243.0183469,17311604.3009811,18177183.6477471
14,6572983.17174337,6901628.20166751,7246705.48308787,7609041.25140266,7989458.71379405,8388960.97745904,8808326.43347757,9248742.012032,9711174.19005215,10196732.5774172,10706568.8853796,11241897.0087402,11803991.5382688,12394190.7942738,13013900.0130791
15,16618472.883371,17449219.8410899,18321504.1466948,19237466.2036665,20199177.0987631,21206541.6167271,22266342.5317107,23379610.5512734,24548253.4472368,25775645.0587279,27064406.2545756,28417605.5102157,29838464.7286378,31330366.907981,32896864.1962913
16,39285959.3344361,41250011.7085159,43312266.7012997,45477801.3688562,47751426.5274923,50137275.3038124,52642459.6347987,55274458.4267828,58036984.1076507,60938783.9675068,63985673.8330764,67184908.1919245,70544104.2687149,74071260.1493449,77774773.8240064
13,20636653.2600839,21668434.7576253,22751805.3300438,23889383.6971253,25083623.6020467,26337640.2243505,27653927.4926163,29036610.2983529,30488338.0293105,32012749.2120067,33613380.9618673,35294044.2992209,37058740.8034422,38911672.1328745,40857250.0287785
10,12296667.0989479,12911472.0046314,13557017.1555992,14234888.7408371,14946233.512621,15694239.3564455,16478003.9254787,17301900.4401922,18166968.2882329,19075315.1291815,20029079.3266904,21030531.7340747,22082056.7618283,23186158.0409695,24345464.3840678
18,18903905.8399572,19849092.4324758,20841538.3546202,21883621.5072376,22977681.6593161,24126774.9100925,25332826.5721194,26599466.7367742,27929431.3645828,29325902.4369125,30792197.0672511,32331806.4291067,33948396.259055,35645815.5805007,37428105.8680188
9,155309482.289655,163074782.286209,171228347.282592,179789851.554272,188777313.965202,198219271.079566,208125357.546474,218531595.60287,229457945.301618,240930829.984072,252977358.974265,265626214.413967,278907512.625655,292852875.747927,307495507.026313
20,64360923.3033189,67578872.1214179,70957718.3804218,74505565.2079731,78230657.9254338,82141361.1614656,86247765.1753817,90560117.4546203,95087814.53512,99842190.5278493,104834285.326941,110075984.865987,115579769.381986,121358743.123784,127426665.552673
8,135412513.919087,142183080.255842,149292174.909434,156756755.519288,164594497.229815,172823605.651281,181464449.436208,190537651.680857,200064369.427127,210067579.515793,220570950.112155,231599489.238335,243179455.320825,255338419.707438,268105332.313383
12,3675681.19966759,3859443.53817097,4052393.99359951,4254998.62398485,4467726.69328843,4690767.56705957,4925252.49196341,5171510.12688391,5430057.56360953,5701558.23058887,5986633.93134335,6285963.41713556,6600259.37721737,6930270.13530329,7276781.43129348
21,7545476.90636907,7922739.87831715,8318865.99886265,8734804.00482094,9171526.22310881,9629986.48720695,10111425.3577183,10616993.0611021,11147814.3147073,11705203.5457831,12290462.2390101,12904983.8668984,13550231.5761811,14227741.670928,14939127.2704122
33,2204067.60474261,2314267.37283084,2429977.12932349,2551473.2713596,2679045.10616269,2812934.05826484,2953576.27649751,3101254.25534221,3256312.36597163,3419127.61323598,3590083.62286555,3769587.43297658,3958066.43359318,4155969.3842406,4363767.48242039
37,10642112.6002158,11174200.6593161,11732893.1213714,12319532.546699,12935512.4507204,13582163.0394787,14261171.1307561,14974218.4966773,15722815.520731,16508951.9199368,17334395.1394044,18201110.5198453,19111161.6693083,20066715.3762444,21070046.7685273
36,1238622.72247476,1300550.27407829,1365574.20326199,1433851.32534269,1505540.07114717,1580781.48051986,1659801.15577961,1742789.72957092,1829916.00492829,1921411.20302365,2017481.16117267,2118354.61722915,2224271.74608844,2335484.7313907,2452258.36595807
34,143747746.980631,150934774.785653,158481153.980926,166405673.78524,174718908.364451,183469380.554314,192626355.682051,202257655.739964,212370420.894561,222988934.004863,234138373.027815,245845284.001915,258137540.52472,271044409.873665,284596622.690057
42,34113407.6663802,35819012.5404096,37609897.6581406,39490364.9916653,41464723.7022294,43537389.6035635,45713788.0375182,47999457.2948034,50399272.5277379,52919227.7286587,55565180.6950511,58343431.3097631,61260594.4552108,64323615.7579308,67539788.1257868
41,207303192.244802,217668020.945733,228551091.081711,239978532.973135,251976583.60953,264573195.74696,277799093.347989,291688932.537099,306272399.868001,321585972.426073,337665223.643612,354548437.422028,372275811.889364,390889555.080068,410433985.430306
4,1037623.74320072,1089503.46018317,1143977.16301475,1201175.39243171,1261230.8222861,1324279.19541329,1390482.97129485,1460006.65398037,1533003.28809056,1609653.25825996,1690135.72705182,1774642.31928326,1863374.24112629,1956542.75906146,2054369.70289339
2,76096840.8848915,79901619.2235972,83896636.4792382,88091431.5108725,92495929.1798204,97119892.9291108,101975634.746197,107074397.132332,112427972.79205,118049363.258954,123951823.251332,130149406.243329,136656868.384926,143489703.633602,150664180.644713
3,220961.154695056,232008.843677297,243608.91710865,255789.245628374,268577.79613956,282004.377527042,296101.495352599,310906.429416417,326450.508544696,342772.976740437,359911.568379942,377907.089601422,396802.386883976,416642.449030658,437474.514284674
