sektor,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Konstruksi,305694373.1,321005056,337081273,353963100.9,372050939.4,391093918,411017294.8,431973591,453977700.9,477082016.8,501341549.1,526814057.9,553560192.2,581643633.2,610725814.8
Perdagangan Mobil Sepeda Motor dan Reparasinya,14152069.74,14859673.23,15602656.89,16382789.74,17201929.22,18062025.68,18965126.97,19913383.32,20909052.48,21954505.11,23052230.36,24204841.88,25415083.97,26685838.17,28020130.08
Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,159151280,167108844,175464286.2,184237500.6,193449375.6,203121844.4,213277936.6,223941833.4,235138925.1,246895871.3,259240664.9,272202698.1,285812833,300103474.7,315108648.4
Angkutan Rel,1486412.16,1560732.77,1638769.41,1720707.88,1806743.27,1897080.44,1991934.46,2091531.18,2196107.74,2305913.13,2421208.78,2542269.22,2669382.68,2802851.82,2942994.41
Angkutan Darat,91662344.6,96245461.83,101057734.9,106110621.7,111416152.8,116986960.4,122836308.4,128978123.8,135427030,142198381.5,149308300.6,156773715.6,164612401.4,172843021.5,181485172.6
Angkutan Laut,131879.25,138473.22,145396.88,152666.72,160300.06,168315.06,176730.81,185567.35,194845.72,204588.01,214817.41,225558.28,236836.19,248678,261111.9
Angkutan Sungai Danau dan Penyeberangan,45.95,48.25,50.66,53.19,55.85,58.64,61.57,64.65,67.89,71.28,74.84,78.59,82.52,86.64,90.97
Angkutan Udara,13993299.94,14692964.93,15427613.18,16198993.84,17008943.53,17859390.71,18752360.24,19689978.25,20674477.17,21708201.03,22793611.08,23933291.63,25129956.21,26386454.02,27705776.72
Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,1744608.77,1831839.21,1923431.17,2019602.73,2120582.86,2226612,2337942.6,2454839.73,2577581.72,2706460.81,2841783.85,2983873.04,3133066.69,3289720.03,3454206.03
Penyediaan Akomodasi,5543669.06,5820852.51,6111895.14,6417489.9,6738364.39,7075282.61,7429046.74,7800499.08,8190524.03,8600050.23,9030052.75,9481555.38,9955633.15,10453414.81,10976085.55
Penyediaan Makan Minum,60300317.4,63315333.27,66481099.93,69805154.92,73295412.67,76960183.3,80808192.47,84848602.09,89091032.2,93545583.81,98222863,103134006.2,108290706.5,113705241.8,119390503.9
Informasi dan Komunikasi,38111510.15,40017085.65,42017939.94,44118836.93,46324778.78,48641017.72,51073068.6,53626722.04,56308058.14,59123461.04,62079634.1,65183615.8,68442796.59,71864936.42,75458183.24
Jasa Perantara Keuangan,18212296.58,19122911.41,20079056.98,21083009.83,22137160.32,23244018.33,24406219.25,25626530.21,26907856.72,28253249.56,29665912.04,31149207.64,32706668.02,34342001.42,36059101.49
Asuransi dan Dana Pensiun,3065142.37,3218399.49,3379319.46,3548285.44,3725699.71,3911984.69,4107583.93,4312963.13,4528611.28,4755041.85,4992793.94,5242433.63,5504555.32,5779783.08,6068772.24
Jasa Keuangan Lainnya,3324184.62,3490393.85,3664913.54,3848159.22,4040567.18,4242595.54,4454725.31,4677461.58,4911334.66,5156901.39,5414746.46,5685483.78,5969757.97,6268245.87,6581658.16
Jasa Penunjang Keuangan,66558.7,69886.64,73380.97,77050.02,80902.52,84947.64,89195.03,93654.78,98337.52,103254.39,108417.11,113837.97,119529.87,125506.36,131781.68
Real Estate,14291847.23,15006439.6,15756761.58,16544599.65,17371829.64,18240421.12,19152442.17,20110064.28,21115567.5,22171345.87,23279913.17,24443908.82,25666104.27,26949409.48,28296879.95
Jasa Perusahaan,3240196.7,3402206.54,3572316.86,3750932.71,3938479.34,4135403.31,4342173.47,4559282.15,4787246.25,5026608.57,5277939,5541835.95,5818927.74,6109874.13,6415367.84
Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,57426534.08,60292081.96,63300907.24,66461597.46,69781827.33,73169309.19,76820828.14,80660536.37,84686240.49,88919959.82,93365365.11,98033040.66,102934100,108080212.3,113483630.2
Jasa Pendidikan,59781416.4,62770487.22,65909011.59,69204462.17,72664685.27,76297919.54,80112815.51,84118456.29,88324379.1,92740598.06,97377627.96,102246509.4,107358834.8,112726776.6,118363115.4
Jasa Kesehatan dan Kegiatan Sosial,22621386.89,23750233.61,24935522.67,26181623.74,27492404.93,28850242.65,30281678.42,31794240.99,33368268.68,35036089.42,36787301.19,38626073.55,40556784.53,42584031.06,44712639.91
Jasa lainnya,30716462.56,32270146.07,33901513.75,35614449.81,37413032.68,39463890.64,41617291.49,43878362.39,46252486.83,48745317.49,51362789.68,54111135.49,56996898.58,60026949.83,63208503.65
Lainnya,29504.97,30980.22,32529.23,34155.69,35863.47,37656.65,39539.48,41516.45,43592.28,45771.89,48060.48,50463.51,52986.68,55636.02,58417.82
