"sector","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Tanaman Pangan",11105.2980552591,11660.562958022,12243.5911059231,12855.7706612193,13498.5591942802,14173.0785082506,14881.3033556323,15624.9179914816,16405.6908325267,17225.4786626976,18086.2310488043,18989.9949768648,19938.9197201095,20935.2619502365,21981.3911040758
"Tanaman Hortikultura",48223.0965844305,50634.251413652,53165.9639843346,55824.2621835513,58615.4752927289,61545.9593992752,64622.9532282445,67853.7815416124,71246.1353032465,74808.08998719,78548.1248012697,82475.1428717895,86598.492437358,90927.9891023039,95473.939202651
"Perkebunan",426.20998808756,447.520487491938,469.896511866535,493.391337459861,518.060904332854,543.65664331821,570.516803941269,598.703839018338,628.283285593262,659.323917228132,691.897903812506,726.080979262246,761.952617497429,799.596217107976,839.099295135833
"Peternakan",203.777763385017,213.966651554268,224.664984131981,235.898233338581,247.69314500551,258.742050244876,270.276613145666,282.317777210922,294.88736614984,308.008119539622,321.703729853008,335.998880898884,350.919287724714,366.491738030881,382.744135148352
"Jasa Pertanian dan Perburuan ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kehutanan dan Penebangan Kayu",10.4050153820464,10.9252661511487,11.4715294587061,12.0451059316414,12.6473612282235,13.274690144459,13.9331335492475,14.6242345691538,15.3496128571775,16.1109683875807,16.9100854388813,17.748836774343,18.6291880297537,19.5532023187695,20.5230450666126
"Perikanan",34.908692507694,36.6541271330787,38.4868334897326,40.4111751642192,42.4317339224302,44.1600817465824,45.9551850183438,47.8193984129149,49.7551451843973,51.7649181369955,53.8512805218926,56.016866849937,58.264383609481,60.5966098778546,63.0163978140419
"Pertambangan Minyak Gas dan Panas Bumi",18.0616086732437,18.9646891069059,19.9129235622512,20.9085697403637,21.9539982273819,22.4690645828149,22.9807525782227,23.4874367117143,23.9873373771094,24.4785095172648,24.958830527993,25.4259873660008,25.8774628114895,26.3105208331119,26.7221909998679
"Pertambangan Bijih Logam",0.718028733015328,0.753930169666094,0.791626678149399,0.831208012056869,0.872768412659713,0.893244575625099,0.913586433855374,0.933729366469613,0.953602626260639,0.973128888614594,0.992223770638291,1.01079531864282,1.02874346202121,1.04595943144083,1.06232513914736
"Pertambangan dan Penggalian Lainnya",218103.47337018,229008.647038689,240459.079390623,252482.033360155,265106.135028162,278361.272986754,292279.159403635,306892.931279737,322237.38244494,338349.046398464,355266.283291228,373029.371257272,391680.602311692,411264.383043412,431827.340342524
"Industri Batubara dan Pengilangan Migas",325.011638891492,341.262220836067,358.32533187787,376.241598471764,395.053678395352,404.322097579155,413.529724485351,422.647308838218,431.642827315158,440.481279367697,449.124469557202,457.530775567237,465.654901004384,473.447612046327,480.855456939954
"Industri Makanan dan Minuman",138.321641256594,145.237723319424,152.499609485395,160.124589959664,168.130819457648,172.075364206024,175.994036380594,179.874387362105,183.702788350817,187.464343469994,191.142797130212,194.720435297776,198.177980289272,201.494478691673,204.64718198359
"Pengolahan Tembakau",4.09720396473298,4.30206416296962,4.51716737111811,4.74302573967401,4.98017702665771,5.09701777721095,5.21309216025286,5.32803143715593,5.44143191134869,5.55285235436782,5.6618112619105,5.76778392932153,5.87019933531888,5.96843682209266,6.06182255920553
"Industri Tekstil dan Pakaian Jadi",259.077231218602,272.031092779533,285.632647418509,299.914279789435,314.909993778906,322.298148825144,329.637844391558,336.905764142551,344.076381257664,351.121795673932,358.011560578683,364.712497484724,371.188499179922,377.400319800928,383.305351236085
"Industri Kulit Barang dari Kulit dan Alas Kaki",32.7136738176168,34.3493575084977,36.0668253839225,37.8701666531187,39.7636749857746,40.6965770904773,41.6233602181858,42.541080215939,43.446513812922,44.3361380690635,45.2061084662868,46.0522355580598,46.8699600878443,47.6543264817122,48.3999546147473
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",50.8767403829369,53.4205774020837,56.0916062721879,58.8961865857973,61.8409959150872,63.2918576694515,64.7332031094646,66.1604534493055,67.5685958153567,68.9521512843897,70.3051408107877,71.6210489116144,72.8927849704969,74.1126420129887,75.2722527973033
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",55.604318892231,58.3845348368425,61.3037615786847,64.3689496576189,67.5873971404999,69.1730761570683,70.7483545824423,72.308228159961,73.8472182087755,75.3593366920716,76.8380489781753,78.2762341511592,79.6661427189961,80.9993515582388,82.2667159246082
"Industri Kimia Farmasi dan Obat Tradisional",207.189360703615,217.548828738795,228.426270175735,239.847583684522,251.839962868748,257.748421568623,263.618126231314,269.430430306352,275.164919473316,280.79928148121,286.309167391211,291.668043688508,296.847034697057,301.81475469724,306.537129110698
"Industri Karet Barang dari Karet dan Plastik",70.8101471356601,74.3506544924431,78.0681872170653,81.9715965779185,86.0701764068145,88.0894829410584,90.0955446877097,92.0819889016734,94.0418386753143,95.9674684540651,97.8505566140026,99.6820349187988,101.452034662539,103.149829293357,104.763773300601
"Industri Barang Galian bukan Logam",27.5457534309673,28.9230411025157,30.3691931576414,31.8876528155235,33.4820354562997,34.2675629851316,35.0479381782059,35.8206819831249,36.5830803230902,37.3321667920942,38.064704207191,38.7771649468171,39.4657099998879,40.1261666458987,40.7540046815109
"Industri Logam Dasar",49.7356246428505,52.222405874993,54.8335261687427,57.5752024771798,60.4539626010388,61.8722829391868,63.281300404647,64.6765389093053,66.0530980134177,67.4056216806682,68.7282649696101,70.0146585332446,71.2578707908185,72.4503676278166,73.5839694715376
