"sector","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Tanaman Pangan",12907.8173716996,13203.9455515131,13864.1428290888,14172.2878561727,14880.9022489814,15200.416380337,15960.4371993538,16290.413652666,17104.9343352993,17444.1609912266,18316.3690407879,18663.2753757537,19596.4391445414,19949.0354926948,20946.4872673295
"Tanaman Hortikultura",5210.55603110829,5330.09570091712,5596.60048596298,5720.99109501052,6007.04064976105,6136.02072693531,6442.82176328207,6576.02527071273,6904.82653424836,7041.76417820215,7393.85238711226,7533.89019622648,7910.5847060378,8052.91951304855,8455.56548870098
"Perkebunan",2733.2795193154,2795.9859424434,2935.78523956557,3001.03629954021,3151.08811451722,3218.74665253407,3379.68398516078,3449.55799026963,3622.03588978311,3693.8686952228,3878.56212998394,3952.02117605609,4149.62223485889,4224.28620748102,4435.50051785507
"Peternakan",3568.78204545197,3650.65642216071,3833.18924326874,3918.38609549802,4114.30540027293,4202.64564283417,4412.77792497587,4504.01085345839,4729.21139613131,4823.00188647555,5064.15198079933,5160.06581723209,5418.06910809369,5515.55619022393,5791.33399973512
"Jasa Pertanian dan Perburuan ",560.324601363924,573.179470869548,601.838444413025,615.21496661344,645.975714944112,659.845772169008,692.838060777459,707.162290620484,742.520405151509,757.246190710663,795.108500246196,810.167666503497,850.676049828671,865.982227042707,909.281338394842
"Kehutanan dan Penebangan Kayu",337.434119009911,345.175473855083,362.434247547837,370.489747831611,389.014235223191,397.366948151137,417.235295558693,425.861516623009,447.15459245416,456.022635132603,478.823766889233,487.892575377643,512.287204146525,521.504765562554,547.580003840681
"Perikanan",4021.38267110104,4113.64049995496,4319.32252495271,4415.32418776735,4636.09039715572,4735.63409607863,4972.41580088256,5075.21903584599,5328.97998763829,5434.66513254373,5706.39838917092,5814.47615906916,6105.19996702261,6215.0504954835,6525.80302025767
"Pertambangan Minyak Gas dan Panas Bumi",267857.273102775,281204.847661618,295265.090044699,309978.413318268,325477.333984182,341696.151503787,358780.959078976,376659.315312412,395492.281078032,415199.982510068,435959.981635571,457684.209551743,480568.42002933,504515.508320714,529741.28373675
"Pertambangan Bijih Logam",13413.200785381,14081.5929312504,14785.6725778129,15522.4558542305,16298.578646942,17110.7509406876,17966.288487722,18861.5637180498,19804.6419039523,20791.5232877008,21831.0994520858,22918.9602653173,24064.9082785832,25264.0808818039,26527.2849258941
"Pertambangan dan Penggalian Lainnya",125286.053681656,131529.173098681,138105.631753615,144987.558789365,152236.936728833,159823.035171771,167814.18693036,176176.50867304,184985.334106692,194203.303478795,203913.468652735,214074.636775484,224778.368614259,235979.24494082,247778.207187862
