"2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
71173.2955313135,74731.9031476047,78468.4983049849,82391.9232202342,86511.5193812459,90837.191372434,95379.007404149,100148.022845597,105155.32288012,110413.113108671,115933.726707814,121730.425861205,127816.931627806,134207.777390821,140918.167530463
144854.979023991,152093.430294773,159698.101809512,167683.006899987,176067.157244987,184877.734673861,194118.348020345,203829.157899541,214013.013857173,224715.475382394,235948.087086682,247746.455181464,260132.61056057,273139.179557774,286796.234030099
6541.00865041844,6868.04790867635,7211.45030411016,7572.02281931567,7950.62396028146,8348.17392966253,8765.57411511503,9203.86554164866,9664.03905317408,10147.2457141208,10654.599778242,11187.3322729452,11746.6958513247,12334.0304839065,12950.7322563939
45552.0672901465,47829.5088145151,50220.9842552408,52732.0334680029,55368.635141403,58137.3387697039,61044.0824404287,64096.4708012186,67301.0080709022,70666.1266659675,74199.313923634,77909.315911925,81804.7377468454,85894.9723170872,90189.7245290287
326477.289778727,342796.170299961,359935.97881496,377932.777755708,396829.416643493,416679.259919262,437509.426807897,459390.571895722,482351.284616242,506470.948847317,531790.829281561,558381.488383714,586299.209006552,615614.098100331,646394.913749084
1052132.66588716,1104738.64740731,1159975.57977767,1217974.35876656,1278873.07670488,1342817.82543945,1409958.22027865,1480456.87327217,1554478.56404718,1632202.76687532,1713812.42566916,1799503.19311081,1889478.17572476,1983952.07517941,2083149.6934208
48098.6152302813,50503.5328358079,53028.7094775983,55680.1449514782,58464.1521990521,61387.3819094215,64456.7409844543,67679.5930104495,71063.5493900484,74616.7324028406,78347.5593433226,82264.9402606749,86378.1837001445,90697.0926967946,95231.9476239603
256063.061804628,268862.682742501,282305.816879626,296421.107723608,311242.163109788,326810.204840324,343148.024770072,360309.447009827,378318.671524669,397236.093377177,417095.29922675,437950.856261431,459847.439635107,482839.761046269,506981.827582989
834405.528364887,876124.984918213,919931.234164123,965927.79587233,1014224.18566595,1064936.77221996,1118182.98636961,1174093.06902208,1232796.27225792,1294436.4313218,1359157.64966341,1427115.71599855,1498471.27909837,1573394.8313151,1652064.59109825
709800.71759427,745280.409442281,782544.429914395,821671.651410115,862755.233980621,905910.372361674,951198.012306199,998769.68856429,1048689.87598732,1101128.7282558,1156177.55393543,1213988.75124668,1274685.3790572,1338419.4999123,1405340.70475225
26526.5627130088,27852.8105476048,29245.4510749851,30707.7236287344,32243.1098101711,33855.4001964271,35548.1090438495,37325.6059107397,39191.7441660306,41151.3652092696,43208.8743873641,45369.3361139749,47637.7811074789,50019.6690131652,52520.6542481125
58174.9209933855,61083.5572790332,64137.7351429849,67344.6219001341,70711.8529951409,74247.6300347522,77959.9279332181,81858.0492852102,85950.7575937557,90248.3417226345,94760.6780487007,99498.7365653501,104473.64357839,109697.324185794,115182.19283404
609246.600554355,639708.703350558,671694.138518086,705278.84544399,740542.78771619,777570.30882258,816448.65118971,857271.342429488,900134.507613273,945141.328738184,992398.22798705,1042018.19034231,1094119.03813647,1148824.98678997,1206266.24117856
130837.211275061,137378.811705787,144247.752291076,151460.13990563,159033.146900912,166985.241236971,175334.305164933,184101.316558544,193305.922251054,202971.327970943,213119.702973803,223775.746456454,234964.46311928,246712.682550863,259048.32245856
