"sector","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030"
52,65637918.761204,68919761.2786688,72365749.3426022,75984036.8097324,79783238.650219,83772490.3226618,87961074.150266,92359188.6717701,96977053.6125207,101825928.801973,106917185.937291,112263057.213546,117876195.563574,123770004.576918,129958505.992769
51,25310947.5052512,26576493.0530861,27905317.7057404,29300583.5910274,30765612.7705788,32303896.478958,33919089.9110206,35615046.4869148,37395795.5788214,39265586.1277511,41228864.089589,43290307.703863,45454822.5926715,47727563.6961415,50113941.921554
45,10653899.8511792,11186591.0581382,11745920.6110451,12333216.6415974,12949877.4736773,13597377.7066964,14277243.7086772,14991110.2036369,15740659.0176732,16527693.5636236,17354075.4565087,18221780.0782422,19132868.053871,20089511.4023652,21093987.0565995
49,17821308.1035536,18712350.3748966,19647967.8936414,20630366.2883235,21661884.6027397,22745017.6948312,23882250.9593704,25076389.8428898,26330168.4148297,27646686.5830379,29029003.8912208,30480459.2734668,32004475.9532911,33604699.4197435,35284934.9047643
30,2120609.01494882,2226637.61436089,2337969.49507894,2454867.96983289,2577611.36832453,2706495.04675308,2841818.38899577,2983911.41600522,3133103.71207723,3289759.67774328,3454246.29949043,3626959.02962071,3808306.47822307,3998721.77562826,4198657.90554633
32,1301855.70701237,1366947.23835286,1435294.6002705,1507059.33028403,1582412.29679823,1661535.01821863,1744610.81399555,1831842.78226011,1923432.70322157,2019604.86676119,2120584.18744774,2226613.6780277,2337944.02130202,2454841.20441318,2577583.29249794
44,15221629.6974344,15982680.8159854,16781814.8567847,17620905.5996239,18501950.8796051,19427099.4352135,20398431.2780498,21418387.4109632,22489253.0681486,23613728.5164386,24794392.5999118,26034119.0394531,27335816.7430148,28702607.1454043,30137738.177414
48,18346283.1497256,19262773.7841047,20225912.4733099,21237208.0969754,22299068.5018242,23415405.3429357,24585548.3624177,25815763.2790123,27105094.7569242,28460696.4871358,29883125.3954629,31377466.3375363,32946115.9606332,34593409.9681054,36323098.7651898
46,942435.163536625,989554.743275752,1039032.48043954,1090984.10446152,1145533.30968459,1202813.63467223,1262952.6571689,1326102.76996022,1392404.05513613,1462025.17578005,1535124.83175996,1611881.56185532,1692475.04821853,1777098.76944029,1865953.75631718
47,8188539.67433237,8597937.02323113,9027833.87439269,9479225.56811233,9953186.84651794,10450895.9716385,10973418.1984552,11522122.8446462,12098176.5674321,12703097.8824667,13338230.9724524,14005149.1665838,14705398.5752002,15440668.0796721,16212702.1421412
11,26510690.0743643,27835818.4955235,29227609.4202996,30688989.8913146,32223439.3858804,33835293.5231825,35526748.9009934,37303548.630314,39168007.7640806,41126579.2556167,43182609.4387643,45341830.9733571,47608812.2177217,49989247.0146355,52488718.3885196
19,69433194.1090968,72904810.8055449,76550051.3458221,80377553.9131132,84396431.6087688,88616325.4389699,93047108.9525187,97699513.361586,102584412.95333,107713651.722889,113099302.664692,118754277.442552,124691979.632133,130926577.99797,137472907.853529
38,3175126.87435071,3333882.62281063,3500576.75395117,3675605.59164872,3859385.87123116,4052356.1647512,4254973.51960264,4467722.87322387,4691107.96396567,4925663.6129764,5171946.355658,5430543.80692543,5702070.83558173,5987174.36883838,6286533.10050692
22,96113922.7212166,100919584.018316,105965563.219231,111263841.380193,116827033.449203,122668443.64677,128801839.293535,135241970.918876,142004007.840041,149104222.911478,156559408.423909,164387386.657625,172606746.527191,181237083.354754,190298938.296613
17,9180710.76674613,9639739.37361949,10121726.3423005,10627812.6594155,11159203.2923863,11717175.1009997,12303028.5766052,12918187.8962121,13564085.0303263,14242292.2024226,14954401.7126442,15702123.352634,16487227.6374704,17311588.9201047,18177168.520127
14,6572902.45059544,6901545.62840713,7246622.90982748,7608954.05531886,7989401.75808481,8388875.11287266,8808317.3872951,9248735.47052638,9711168.80414476,10196728.0637611,10706563.0361018,11241891.6240034,11803985.6769593,12394184.9329644,13013894.2228242
15,16614961.8725371,17445686.1120975,18317970.4177023,19233868.9385875,20195562.3855168,21205380.5766466,22265631.4367022,23378940.1639999,24547844.9780158,25775247.2778537,27063992.0908591,28417197.0445966,29838050.4173406,31329952.5966838,32896450.7565552
16,39281168.1529817,41245099.8556758,43307354.8484596,45472722.5908825,47746358.7204267,50133889.504956,52640487.4736377,55272656.0882047,58036064.7709876,60937921.3968088,63984724.2421087,67183988.8673762,70543153.8938476,74070309.7744776,77773828.0785849
13,20635649.0296924,21667411.4483698,22750782.0207883,23888321.1218277,25082737.1779191,26336907.6894305,27653737.8156398,29036447.5117639,30488234.4523894,32012654.6158542,33613272.6072924,35293940.729947,37058632.3249281,38911563.6543604,40857142.2822073
10,12296129.1230754,12910903.0193545,13556448.1703222,14234270.5788383,14945984.1077802,15693338.0096944,16477980.1105041,17301916.1821816,18166954.3978673,19075315.8368996,20029057.6724648,21030517.8575309,22082034.9061608,23186136.1853021,24345443.7180474
18,18903740.6897908,19848918.4428895,20841364.3650339,21883432.5832856,22977604.2124499,24126500.0146505,25332817.9460844,26599469.4093214,27929426.4624309,29325901.6962767,30792189.9522068,32331801.531138,33948389.0865884,35645808.4080342,37428099.0346684
9,155306110.414268,163071299.927647,171224864.924029,179786108.170231,188775413.578742,198214379.13552,208125009.733719,218531392.283122,229457756.698101,240930693.412823,252977142.729814,265626025.880561,278907295.663489,292852658.785762,307495294.302732
20,64359020.1013562,67576925.1800794,70955771.4390833,74503560.0110375,78228738.0115894,82140252.0626949,86247229.6853997,90559643.4522074,95087544.3881598,99841940.9586835,104834004.215813,110075714.725433,115579487.98672,121358461.728519,127426385.835428
8,135411512.524079,142181893.071853,149290987.725445,156755537.111718,164593313.967303,172823307.373079,181464324.157573,190537762.442681,200064305.501,210067602.972561,220570839.590125,231599425.315316,243179343.591881,255338307.978494,268105227.712061
12,3675247.96753695,3859009.1085709,4051959.56399944,4254557.54219941,4467285.41930938,4690651.80245397,4925183.43490421,5171444.03800823,5430014.01586194,5701515.24643785,5986590.08365611,6285919.86979385,6600215.52175119,6930226.2798371,7276737.6217671
21,7545265.41790635,7922522.41090982,8318648.53145531,8734580.95802808,9171310.00592948,9629886.05230059,10111375.5732732,10616951.4986872,11147787.968994,11705180.0126403,12290434.3942455,12904957.521754,13550203.6925765,14227713.7873234,14939099.6161842
33,2203995.68851089,2314195.12985286,2429904.8863455,2551400.13066278,2678970.13719591,2812919.2203933,2953564.92009865,3101243.55666984,3256305.12764111,3419120.52858181,3590076.30258344,3769580.19464796,3958059.11118848,4155962.0618359,4363760.17255102
37,10641774.2068567,11173849.2411064,11732541.7031617,12319168.7883198,12935127.2277358,13581906.563252,14260991.4748307,14974056.6174329,15722735.2573937,16508877.7827003,17334311.6095019,18201030.2567951,19111078.0547943,20066631.7617305,21069963.6536997
36,1238553.80931021,1300478.58367411,1365502.51285781,1433777.6385007,1505466.52042574,1580744.74513373,1659779.76130164,1742772.06905598,1829905.51437238,1921402.01879362,2017469.97418001,2118344.12681504,2224260.54105441,2335473.52635666,2452247.26747026
34,143740871.131101,150927583.905454,158473963.100727,166397661.255763,174717544.318551,183453977.207288,192626424.122853,202258121.891362,212370442.882959,222989104.402552,234138316.246097,245845306.235204,258137481.696515,271044351.04546,284596575.947712
