"PDRB_2016","PDRB_2017","PDRB_2018","PDRB_2019","PDRB_2020","PDRB_2021","PDRB_2022","PDRB_2023","PDRB_2024","PDRB_2025","PDRB_2026","PDRB_2027","PDRB_2028","PDRB_2029","PDRB_2030"
65842515.4616697,69134777.9842103,72591653.6406389,76221373.0602924,80033750.5763039,84037153.9666314,88240727.5242438,92654479.7473258,97288919.5795681,102155081.414449,107264551.355723,112629494.774041,118262685.362509,124177535.478791,130386873.592236
25217360.3689674,26478271.6449673,27802228.4793898,29192383.1701638,30652131.548055,32185204.1089488,33794930.2913296,35485142.7817867,37259865.8954195,39123325.1629199,41079957.4005077,43134421.2525206,45291608.2942296,47556654.6830657,49934861.3895811
10687549.085634,11221961.6979376,11783094.9463955,12372284.8488839,12991324.2088192,13641382.3806183,14323943.451697,15040632.587739,15793156.1713121,16583305.934552,17412963.1917791,18284103.3059665,19198800.4306177,20159232.4055073,21167268.6076226
17796163.6868502,18685990.2206263,19620308.0821642,20601341.8363316,21631575.5760276,22713368.470071,23849251.0023179,25041927.6640644,26294238.1645806,27609164.1842054,28989836.5068212,30439542.4388001,31961733.6725852,33560034.4719486,35238091.5889472
2116285.14809548,2231126.01003007,2351708.91274246,2478320.9668735,2611296.5119299,2750935.59226449,2897556.61237186,3051508.69452282,3213158.38390181,3382890.54606998,3561109.32105038,3748239.03368962,3944725.23776428,4151035.7533218,4367626.57691176
1306935.96590513,1372293.05209949,1440917.98374191,1512974.16217804,1588720.36565,1668261.3409607,1751779.35860738,1839473.27942759,1931551.89614068,2028234.43709007,2129751.11665787,2236343.61801019,2348265.7550481,2465783.98887171,2589084.79982206
15262463.7445617,16025813.905969,16827331.5651129,17668925.1146172,18552695.9672176,19480855.2873353,20455422.56145,21478718.2069406,22553178.6345623,23681362.0868924,24865954.7065596,26109776.9615339,27415790.3213454,28787104.3570006,30226879.5973464
18279049.8672156,19193078.6062589,20152808.7738621,21160525.4445364,22219395.8435999,23331393.0304978,24498990.0747429,25724966.9748806,27012242.7169425,28363882.2485769,29783103.7562938,31273286.3356823,32837978.0466987,34480904.3427182,36205155.097222
942632.756610944,989784.778350736,1039294.39219728,1091279.49694966,1146089.42297297,1203677.63146704,1264145.25280547,1327636.26153745,1394301.8122695,1464300.64743567,1537799.4195944,1614973.12739288,1696005.52791073,1781089.54535154,1870186.33810617
8179958.03167658,8589251.47344672,9019009.58550445,9470255.60245537,9948212.99577557,10450096.4640544,10977074.1156877,11530400.6392949,12111393.4951635,12721435.9895612,13361980.6129181,14034552.4673657,14740752.9146164,15482263.3828862,16256408.6753175
26211675.9009634,27522369.6327552,28898598.0497987,30343637.8859487,31862169.2159716,33456811.8339876,35131186.5832868,36889280.0685366,38735278.230948,40673576.299036,42708789.2749663,44845762.8953315,47089585.1970548,49445598.6137391,51918086.0898898
69544629.870243,73022005.6893238,76673250.3221946,80507057.1589479,84533924.2296957,88762525.7442086,93202557.3294336,97864590.4666028,102759725.250218,107899616.800156,113296502.954469,118963233.373149,124913300.318132,131160870.614154,137719353.227217
3166308.09791439,3324632.82764149,3490873.79675495,3665426.812508,3848744.29861799,4041236.75651436,4243353.83156769,4455576.76540174,4678410.8434673,4912386.62716165,5158061.19951259,5416019.49468499,5686875.71478807,5971274.73991855,6269854.30571527
95536854.1756957,100313893.275308,105329784.358133,110596469.956114,116127994.068618,121936893.099327,128036237.080766,134440548.221827,141165074.984676,148225828.041056,155639618.759454,163424099.04915,171597803.310104,180180192.769915,189190091.847112
