"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",-0.0033823399899768,-0.000298121272998868,-0.000293822893228987,-0.000289109717776766,-0.000284146088422642,-0.000279052008412553,-0.000273914000825961,-0.000268794050200838,-0.000263735376728385,-0.000258767579094063,-0.000253909896097532,-0.000249174139913912,-0.000244566639585241,-0.000240089885578625,-0.000235743360545574
"2",-0.0129131237958547,-0.00120354731993341,-0.00118578705167323,-0.00116635495728043,-0.00114592500718188,-0.00112498822631988,-0.00110389777893716,-0.00108290586397491,-0.00106218770796611,-0.00104186266833575,-0.00102200779936526,-0.00100266977522624,-0.000983872983167419,-0.000965626099817804,-0.000947925726022845
"3",-0.0167903339423436,-0.0014741356619187,-0.00145291818598688,-0.00142964934792491,-0.00140514080177548,-0.00137998540413044,-0.00135461060753977,-0.00132932279078004,-0.00130433558924514,-0.00127979536759517,-0.0012557973336893,-0.00123239995550814,-0.00120963467641636,-0.00118751391210076,-0.00116603523403993
"4",-3.32751977541845e-05,-2.93086858174312e-06,-2.88862362889333e-06,-2.84230064634746e-06,-2.79351494399899e-06,-2.74344616437819e-06,-2.69294468532729e-06,-2.64262001511758e-06,-2.59289689418351e-06,-2.54406635626234e-06,-2.49631756767537e-06,-2.44976666404541e-06,-2.40447591053384e-06,-2.36046986374623e-06,-2.31774345030969e-06
"5",-2.02883620240719e-05,-1.78135881296826e-06,-1.75571873462563e-06,-1.72759977099542e-06,-1.69798275365197e-06,-1.66758410735877e-06,-1.6369203978612e-06,-1.60636182198017e-06,-1.57616655463571e-06,-1.54651147327864e-06,-1.51751162170614e-06,-1.48923765055023e-06,-1.46172755322152e-06,-1.43499632381129e-06,-1.40904103804708e-06
"6",-0.0144345574514937,-0.00126914597754094,-0.00125086712384888,-0.00123082226382756,-0.00120971048942105,-0.00118804239152833,-0.00116618610614206,-0.00114440544589606,-0.00112288435825529,-0.0011017488595592,-0.00108108088964447,-0.00106093076133633,-0.00104132552277748,-0.00102227579578687,-0.0010037794494359
"7",-0.00989742410063009,-0.000918474034946774,-0.000904943455243333,-0.000890136919740991,-0.000874568165544109,-0.000858611535707779,-0.00084253630202042,-0.00082653481976709,-0.000810740757723626,-0.000795245218985998,-0.000780107030672501,-0.000765361870918439,-0.000751028405205178,-0.000737113350358519,-0.000723614178991075
"8",-0.0104410928840848,-0.000165718758439196,-0.000163199554497893,-0.000160754520232844,-0.000158353037884765,-0.000155976220381354,-0.00015361158211649,-0.000151252278406937,-0.00014889357967551,-0.000146533237283791,-0.000144169715827484,-0.00014180259868405,-0.000139432108756461,-0.000137059236029403,-0.000134684737605195
"9",-0.0136143384540568,-0.00119862959084224,-0.00118135607061533,-0.00116241477745002,-0.00114246617260467,-0.00112199268925675,-0.00110134205332808,-0.00108076349504584,-0.00106043075009922,-0.00104046283013697,-0.00102093710810164,-0.00100190106966374,-0.000983380219450915,-0.000965384579513159,-0.000947912112462347
"10",-0.0109091793818358,-0.00163527357335041,-0.00160872763709409,-0.00157983847960945,-0.00154961795911166,-0.00151879583658733,-0.00148789197800485,-0.00145727242631756,-0.00142718812294993,-0.00139780618692133,-0.0013692313896614,-0.00134152362377566,-0.00131471018548734,-0.00128879543359211,-0.00126376678986778
"11",-0.014464979914628,-0.0012793636213171,-0.00126088930993544,-0.00124063519591036,-0.00121930721213249,-0.00119742080230377,-0.00117534751699869,-0.00115335350297126,-0.00113162427325173,-0.001110286843128,-0.00108942372650853,-0.00106908552196327,-0.0010492993421265,-0.00103007575749619,-0.00101141246745829
"12",-9.54810996711616e-05,-8.39924881753008e-06,-8.27825210578639e-06,-8.14556815566128e-06,-8.00582417085353e-06,-7.86239979669968e-06,-7.71773156902494e-06,-7.57356546866053e-06,-7.43111897022553e-06,-7.2912260468213e-06,-7.15442885167278e-06,-7.02106041456849e-06,-6.89129952588267e-06,-6.7652164952004e-06,-6.64279733527754e-06
