"","year","emission"
"1","y2015","36276000.6428"
"2","y2016","41553813.503493"
"3","y2017","48221756.283216"
"4","y2018","55334263.049373"
"5","y2019","62907646.353577"
"6","y2020","70962662.8852807"
"7","y2021","79524240.4658838"
"8","y2022","88621308.5596457"
"9","y2023","98286712.2083431"
"10","y2024","108557196.944886"
"11","y2025","119473452.390011"
"12","y2026","131080207.921808"
"13","y2027","143426373.785978"
"14","y2028","156565223.864844"
"15","y2029","170554617.488068"
"16","y2030","185457258.036372"
