"","year","GDP"
"1","y2016","384738791.417761"
"2","y2017","787417420.146295"
"3","y2018","1208919907.00616"
"4","y2019","1650174344.18788"
"5","y2020","2112155097.45166"
"6","y2021","2595885118.55178"
"7","y2022","3102438373.17623"
"8","y2023","3632942390.33002"
"9","y2024","4188580939.13331"
"10","y2025","4770596839.49928"
"11","y2026","5380294913.20061"
"12","y2027","6019045082.72633"
"13","y2028","6688285624.78689"
"14","y2029","7389526586.6448"
"15","y2030","8124353373.24353"
