"","year","emission"
"1","y2016","1571043.17071264"
"2","y2017","8329481.78376818"
"3","y2018","15532441.0876339"
"4","y2019","23195855.9783168"
"5","y2020","31340220.3884934"
"6","y2021","39990286.3818308"
"7","y2022","49174873.9015381"
"8","y2023","58926769.2192526"
"9","y2024","69282698.2305418"
"10","y2025","80283361.3310877"
"11","y2026","91973522.4910748"
"12","y2027","104402145.376335"
"13","y2028","117622572.30778"
"14","y2029","131692743.177284"
"15","y2030","146675451.820151"
