"","year","emIntensity"
"1","y2016","0.00408340205291843"
"2","y2017","0.0208671053112598"
"3","y2018","0.0379558759079098"
"4","y2019","0.0553232137632048"
"5","y2020","0.0729524425841863"
"6","y2021","0.0908344544834376"
"7","y2022","0.108965988405802"
"8","y2023","0.127348309750011"
"9","y2024","0.145986197696399"
"10","y2025","0.164887164308529"
"11","y2026","0.184060853162455"
"12","y2027","0.203518574628875"
"13","y2028","0.223272947086258"
"14","y2029","0.243337620479304"
"15","y2030","0.263727063156288"
