"","year","GDP"
"1","y2015","335534509.13376"
"2","y2016","687944455.826732"
"3","y2017","1057970271.87637"
"4","y2018","1446492736.70465"
"5","y2019","1854436668.66837"
"6","y2020","2282773126.96007"
"7","y2021","2732521723.6941"
"8","y2022","3204753051.51474"
"9","y2023","3700591232.64486"
"10","y2024","4221216595.34042"
"11","y2025","4767868484.24098"
"12","y2026","5341848211.09495"
"13","y2027","5944522153.23986"
"14","y2028","6577325006.78229"
"15","y2029","7241763202.58371"
"16","y2030","7939418492.99352"
