"","year","emIntensity"
"1","y2016","0.0101551536752202"
"2","y2017","0.0281961748049671"
"3","y2018","0.0465205060426477"
"4","y2019","0.0651003143708821"
"5","y2020","0.0839182400977225"
"6","y2021","0.102964958491262"
"7","y2022","0.122237322144925"
"8","y2023","0.141736939427986"
"9","y2024","0.161469087087393"
"10","y2025","0.181441874183813"
"11","y2026","0.201665600439214"
"12","y2027","0.22215226226538"
"13","y2028","0.242915173057326"
"14","y2029","0.263968672031065"
"15","y2030","0.285327900960639"
