"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.00918769399019202"
"3","y2017","-0.0138285288224144"
"4","y2018","-0.0183197521805225"
"5","y2019","-0.0225750631954203"
"6","y2020","-0.0265719201255018"
"7","y2021","-0.0303093320741985"
"8","y2022","-0.0338441665108979"
"9","y2023","-0.036944990875194"
"10","y2024","-0.0395129714380758"
"11","y2025","-0.0415691553853905"
"12","y2026","-0.043128669765577"
"13","y2027","-0.044219791974733"
"14","y2028","-0.0448477581554582"
"15","y2029","-0.0450309033318129"
"16","y2030","-0.0447822910831916"
