"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.00926259735197442"
"3","y2017","-0.0138964539524585"
"4","y2018","-0.018385839839303"
"5","y2019","-0.0226393258759036"
"6","y2020","-0.026634390431012"
"7","y2021","-0.0303700518391805"
"8","y2022","-0.0339031504100214"
"9","y2023","-0.0370024173350688"
"10","y2024","-0.0395691114745785"
"11","y2025","-0.0416242945891205"
"12","y2026","-0.0431831127435871"
"13","y2027","-0.0442738523406692"
"14","y2028","-0.0449017769580931"
"15","y2029","-0.0450852387753555"
"16","y2030","-0.0448373233745829"
