"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-3376386.13791624"
"3","y2017","191321.39920386"
"4","y2018","3785702.04721202"
"5","y2019","7576925.79656432"
"6","y2020","11553718.6037741"
"7","y2021","15707731.0084007"
"8","y2022","20014795.0714339"
"9","y2023","24525657.2784262"
"10","y2024","29218568.7167498"
"11","y2025","34100421.9142649"
"12","y2026","39191195.4199652"
"13","y2027","44473653.201872"
"14","y2028","49994756.3569197"
"15","y2029","55765181.5508342"
"16","y2030","61810592.9107758"
