"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-2502602.58255689"
"3","y2017","888539.16454829"
"4","y2018","4485995.50849698"
"5","y2019","8281389.77707224"
"6","y2020","12263668.5256135"
"7","y2021","16426535.3653217"
"8","y2022","20767568.8315703"
"9","y2023","25287674.1910044"
"10","y2024","29990781.3178374"
"11","y2025","34883736.4099519"
"12","y2026","39976360.1347024"
"13","y2027","45281661.6675928"
"14","y2028","50816212.3737347"
"15","y2029","56600693.9228779"
"16","y2030","62660646.8900034"
