"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.00221308152507585"
"3","y2017","-0.0001156732241426"
"4","y2018","0.0019015111093403"
"5","y2019","0.0039275294009811"
"6","y2020","0.00595115681578636"
"7","y2021","0.00796385224520061"
"8","y2022","0.00995021388934611"
"9","y2023","0.0119310037011407"
"10","y2024","0.0138930741208818"
"11","y2025","0.0158363784814199"
"12","y2026","0.0177660114239529"
"13","y2027","0.0196720429496129"
"14","y2028","0.0215686298069871"
"15","y2029","0.0234557372263286"
"16","y2030","0.0253378473046549"
