"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-3250100.87576428"
"3","y2017","309827.44724931"
"4","y2018","3905264.99483872"
"5","y2019","7697587.55410596"
"6","y2020","11675521.5874752"
"7","y2021","15830717.8848644"
"8","y2022","20139008.4495207"
"9","y2023","24651139.3278602"
"10","y2024","29345360.6827467"
"11","y2025","34228563.5341902"
"12","y2026","39320724.085515"
"13","y2027","44604602.9459404"
"14","y2028","50127156.6590421"
"15","y2029","55899055.4189175"
"16","y2030","61945954.8418701"
