"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.00173376488230156"
"3","y2017","0.00027923146659093"
"4","y2018","0.00231295778256409"
"5","y2019","0.00435635733090677"
"6","y2020","0.00639822190608185"
"7","y2021","0.00843098195969351"
"8","y2022","0.0104497409033052"
"9","y2023","0.0124516161136318"
"10","y2024","0.014435287744103"
"11","y2025","0.016400692175702"
"12","y2026","0.0183488196476755"
"13","y2027","0.0202815897182386"
"14","y2028","0.0222017878760945"
"15","y2029","0.024113052676449"
"16","y2030","0.0260199072104726"
