"","ID","Sektor","Total_Kons","HCOAL","BCOAL","COKE","CRUDE","DIESEL","GASOLINE","JETFUEL","LFO","HFO","NAPHTA","OTHPETRO","NATGAS","OTHGAS","WASTE","BIOGASOL","BIODIESEL","BIOGAS","OTHRENEW","ELECTR","HEATPROD","NUCLEAR","HYDRO","GEOTHERM","SOLAR","WIND","OTHSOURC"
"1",1," Padi ",97.05187344,0,0,0,0,16.917432,36.78551763,0,42.70910289,0,0,0,0,0,0,0.003720285,0.034207424,0,0,0.601893217,0,0,0,0,0,0,0
"2",2," Jagung ",24.63533335,0,0,0,0,4.294266169,9.337516705,0,10.84114041,0,0,0,0,0,0,0.000944345,0.008683102,0,0,0.152782626,0,0,0,0,0,0,0
"3",3," Ketela Pohon ",9.0382687,0,0,0,0,1.575490412,3.42576996,0,3.97742294,0,0,0,0,0,0,0.000346464,0.003185677,0,0,0.056053247,0,0,0,0,0,0,0
"4",4," Umbi-Umbian Lainnya ",1.599891916,0,0,0,0,0.278882434,0.606406143,0,0.704055945,0,0,0,0,0,0,6.13e-05,0.000563906,0,0,0.009922159,0,0,0,0,0,0,0
"5",5," Kacang Tanah ",2.832490363,0,0,0,0,0.493740733,1.073597248,0,1.246479002,0,0,0,0,0,0,0.000108578,0.000998355,0,0,0.017566449,0,0,0,0,0,0,0
"6",6," Kedelai ",1.963037331,0,0,0,0,0.342183508,0.744048948,0,0.863863421,0,0,0,0,0,0,7.52e-05,0.000691903,0,0,0.012174302,0,0,0,0,0,0,0
"7",7," Kacang-Kacangan Lainnya ",1.331901156,0,0,0,0,0.232168081,0.504829755,0,0.586122673,0,0,0,0,0,0,5.11e-05,0.000469449,0,0,0.008260142,0,0,0,0,0,0,0
"8",8," Sayur-Sayuran ",10.73448235,0,0,0,0,1.871163006,4.068684878,0,4.723866681,0,0,0,0,0,0,0.000411484,0.003783533,0,0,0.066572771,0,0,0,0,0,0,0
"9",9," Buah-Buahan ",15.62968844,0,0,0,0,2.724462516,5.924112119,0,6.878074044,0,0,0,0,0,0,0.000599132,0.005508924,0,0,0.096931704,0,0,0,0,0,0,0
"10",10," Padi-Padian dan Bahan Makanan Lainnya ",1.631479084,0,0,0,0,0.284388497,0.61837861,0,0.717956342,0,0,0,0,0,0,6.25e-05,0.00057504,0,0,0.010118055,0,0,0,0,0,0,0
"11",11," Karet ",0.018007102,0,0,0,0,0.003138877,0.006825222,0,0.00792429,0,0,0,0,0,0,6.9e-07,6.35e-06,0,0,0.000111676,0,0,0,0,0,0,0
"12",12," Tebu ",1.648527047,0,0,0,0,0.287360184,0.62484029,0,0.725458549,0,0,0,0,0,0,6.32e-05,0.000581049,0,0,0.010223783,0,0,0,0,0,0,0
"13",13," Kelapa ",2.793327028,0,0,0,0,0.486914043,1.05875319,0,1.229244601,0,0,0,0,0,0,0.000107076,0.000984551,0,0,0.017323567,0,0,0,0,0,0,0
"14",14," Kelapa Sawit ",3.611993885,0,0,0,0,0.629618561,1.369052034,0,1.58951098,0,0,0,0,0,0,0.000138458,0.001273103,0,0,0.022400749,0,0,0,0,0,0,0
"15",15," Kopi ",7.375156563,0,0,0,0,1.285587853,2.795401492,0,3.245546009,0,0,0,0,0,0,0.000282712,0.002599487,0,0,0.045739011,0,0,0,0,0,0,0
"16",16," Cengkeh ",6.559334028,0,0,0,0,1.143379138,2.48618073,0,2.886531315,0,0,0,0,0,0,0.000251439,0.002311938,0,0,0.040679469,0,0,0,0,0,0,0
"17",17," Kakao ",39.86090275,0,0,0,0,6.948285361,15.10845581,0,17.54137593,0,0,0,0,0,0,0.001527986,0.014049588,0,0,0.247208077,0,0,0,0,0,0,0
"18",18," Jambu Mete ",1.484856927,0,0,0,0,0.258830306,0.562804496,0,0.653433108,0,0,0,0,0,0,5.69e-05,0.000523361,0,0,0.009208738,0,0,0,0,0,0,0
"19",19," Hasil Perkebunan Lainnya ",5.109472324,0,0,0,0,0.890648964,1.936640454,0,2.248498369,0,0,0,0,0,0,0.000195861,0.001800912,0,0,0.031687763,0,0,0,0,0,0,0
"20",20," Hasil Pertanian Lainnya ",0.124423458,0,0,0,0,0.021688663,0.047160154,0,0.054754371,0,0,0,0,0,0,4.77e-06,4.39e-05,0,0,0.000771645,0,0,0,0,0,0,0
"21",21," Sapi ",8.867658024,0,0,0,0,1.545750703,3.361103491,0,3.902343205,0,0,0,0,0,0,0.000339924,0.003125542,0,0,0.054995159,0,0,0,0,0,0,0
"22",22," Ternak Lainnya dan Hasil-Hasilnya (termasuk Susu Segar) ",1.717863998,0,0,0,0,0.299446536,0.651121036,0,0.755971293,0,0,0,0,0,0,6.59e-05,0.000605488,0,0,0.010653794,0,0,0,0,0,0,0
"23",23," Unggas dan Hasil-Hasilnya ",10.66343623,0,0,0,0,1.858778723,4.041756307,0,4.692601793,0,0,0,0,0,0,0.000408761,0.003758492,0,0,0.066132159,0,0,0,0,0,0,0
"24",24," Ulat Sutera ",0.014946815,0,0,0,0,0.002605429,0.005665283,0,0.006577566,0,0,0,0,0,0,5.73e-07,5.27e-06,0,0,9.27e-05,0,0,0,0,0,0,0
"25",25," Hasil Pemeliharaan Hewan Lainnya ",0.136775263,0,0,0,0,0.023841747,0.051841852,0,0.060189964,0,0,0,0,0,0,5.24e-06,4.82e-05,0,0,0.000848248,0,0,0,0,0,0,0
"26",26," Kayu ",0.914173375,0,0,0,0,0.159352575,0.346498626,0,0.402295426,0,0,0,0,0,0,3.5e-05,0.000322214,0,0,0.005669491,0,0,0,0,0,0,0
