"","ID","Sektor","Total","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"23",23,"Unggas dan Hasil-Hasilnya ",4773631.742,0,0,0,1716.44769,0,0,0,4005.04461,0,0,0,0,4767910.25,0,0,0
"24",24,"Ulat Sutera ",5.1800423,0.00357975,0,0.0001892,0,0,0,0.0082689,0.00800445,4.641936,0,0,0.006192,0.511872,0,0,0
"25",25,"Hasil Pemeliharaan Hewan Lainnya ",65.7744906,0.0454545,0,0.0024024,0,0,0,0.1049958,0.1016379,58.941792,0,0,0.078624,6.499584,0,0,0
"26",26,"Kayu ",13013.03736,0,0,0,3657.415648,0,0,0,9175.621712,161.928,0,0,0.216,17.856,0,0,0
"27",27,"Hasil Hutan Lainnya ",8931.39822,0,0,0,2527.083093,0,0,0,6339.875127,57.970224,0,0,0.077328,6.392448,0,0,0
"28",28,"Ikan Laut dan Hasil Lainnya ",19694.87333,0,0,0,4199.096665,0,0,0,4199.096665,10162.49333,0,0,13.556016,1120.630656,0,0,0
"29",29,"Budidaya Udang ",2816.376952,1.94630175,0,0.1028676,0,0,0,4.4957817,4.35200085,2523.809808,0,0,3.366576,278.303616,0,0,0
"30",30,"Budidaya Bandeng ",2752.288987,1.90201275,0,0.1005268,0,0,0,4.3934781,4.25296905,2466.379344,0,0,3.289968,271.970688,0,0,0
"31",31,"Ikan Darat dan Hasil Perairan Darat Lainnya ",36929.01773,0,0,0,17665.36886,0,0,0,17665.36886,1437.812688,0,0,1.917936,158.549376,0,0,0
"32",32,"Jasa Pertanian ",667.7435923,0.46145475,0,0.0243892,0,0,0,1.0659189,1.03182945,598.377936,0,0,0.798192,65.983872,0,0,0
"33",33,"Gas Alam ",150.8235572,0.104229,0,0.0055088,0,0,0,0.2407596,0.2330598,135.155904,0,0,0.180288,14.903808,0,0,0
"34",34,"Bijih Nikel ",826005.6132,0,0,0,4.197865312,0,0,0,4.298558525,0,0,0,0,825997.1168,0,0,0
"35",35,"Barang Tambang Lainnya ",4992.686719,0,0,0,332.6247339,0,0,0,340.6033255,0,0,0,0,4319.458659,0,0,0
"36",36,"Garam Kasar ",91.3133038,0.0631035,0,0.0033352,0,0,0,0.1457634,0.1411017,81.827616,0,0,0.109152,9.023232,0,0,0
"37",37,"Barang Galian Segala Jenis ",3200.302413,2.2116195,0,0.1168904,0,0,0,5.1086418,4.9452609,2867.852832,0,0,3.825504,316.241664,0,0,0
"38",38,"Daging Jeroan dan Sejenisnya ",958.910156,0.66267,0,0.035024,0,0,0,1.530708,1.481754,859.29792,0,0,1.14624,94.75584,0,0,0
"39",39,"Daging Olahan dan Awetan ",60.7149144,0.041958,0,0.0022176,0,0,0,0.0969192,0.0938196,54.407808,0,0,0.072576,5.999616,0,0,0
"40",40,"Buah-Buahan dan Sayur-Sayuran Olahan dan Awetan ",4.9391101,0.00341325,0,0.0001804,0,0,0,0.0078843,0.00763215,4.426032,0,0,0.005904,0.488064,0,0,0
"41",41,"Ikan Olahan dan Awetan ",1999.014463,1.3814505,0,0.0730136,0,0,0,3.1910262,3.0889731,1791.355488,0,0,2.389536,197.534976,0,0,0
