"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",562823,17681,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,786338,0,0,0,0,0,0,22022,0,0,135,1572,367,0,0,0,355,273,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,2638,64,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,20838,0,0,0,0,0,0,119,13,513,14,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,13486,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,40086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,80,0,0,0,0,94,0,473048,0,0,0,904,0,68,7,0,38,40,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,15608,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,91149,0,0,0,20,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,41834,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,53,0,1282,0,0,63,1569045,191,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,607459,51,38,0,50,38,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,32,111449,10,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22509,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10314,68,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,111939,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942
