"","ID_LC1","ID_LC2","variable","value"
"212",5,10,"COUNT",0
"213",6,10,"COUNT",0
"214",7,10,"COUNT",0
"215",8,10,"COUNT",0
"216",9,10,"COUNT",0
"217",10,10,"COUNT",15608
"218",11,10,"COUNT",0
"219",12,10,"COUNT",0
"220",13,10,"COUNT",0
"221",14,10,"COUNT",0
"222",15,10,"COUNT",0
"223",16,10,"COUNT",0
"224",17,10,"COUNT",0
"225",18,10,"COUNT",0
"226",19,10,"COUNT",0
"227",20,10,"COUNT",0
"228",21,10,"COUNT",0
"229",22,10,"COUNT",0
"230",23,10,"COUNT",0
"231",1,11,"COUNT",0
"232",2,11,"COUNT",0
"233",3,11,"COUNT",0
"234",4,11,"COUNT",0
"235",5,11,"COUNT",0
"236",6,11,"COUNT",0
"237",7,11,"COUNT",0
"238",8,11,"COUNT",0
"239",9,11,"COUNT",0
"240",10,11,"COUNT",0
"241",11,11,"COUNT",91149
"242",12,11,"COUNT",0
"243",13,11,"COUNT",0
"244",14,11,"COUNT",0
"245",15,11,"COUNT",0
"246",16,11,"COUNT",0
"247",17,11,"COUNT",0
"248",18,11,"COUNT",0
"249",19,11,"COUNT",0
"250",20,11,"COUNT",0
"251",21,11,"COUNT",0
"252",22,11,"COUNT",0
"253",23,11,"COUNT",0
"254",1,12,"COUNT",0
"255",2,12,"COUNT",135
"256",3,12,"COUNT",0
"257",4,12,"COUNT",0
"258",5,12,"COUNT",0
"259",6,12,"COUNT",0
"260",7,12,"COUNT",0
"261",8,12,"COUNT",0
"262",9,12,"COUNT",0
"263",10,12,"COUNT",0
"264",11,12,"COUNT",0
"265",12,12,"COUNT",41834
"266",13,12,"COUNT",63
"267",14,12,"COUNT",0
"268",15,12,"COUNT",0
"269",16,12,"COUNT",0
"270",17,12,"COUNT",0
"271",18,12,"COUNT",0
"272",19,12,"COUNT",0
"273",20,12,"COUNT",0
"274",21,12,"COUNT",0
"275",22,12,"COUNT",0
"276",23,12,"COUNT",0
"277",1,13,"COUNT",0
"278",2,13,"COUNT",1572
"279",3,13,"COUNT",0
"280",4,13,"COUNT",0
"281",5,13,"COUNT",9
"282",6,13,"COUNT",119
"283",7,13,"COUNT",306
"284",8,13,"COUNT",0
"285",9,13,"COUNT",904
"286",10,13,"COUNT",0
"287",11,13,"COUNT",0
"288",12,13,"COUNT",0
"289",13,13,"COUNT",1569045
"290",14,13,"COUNT",0
"291",15,13,"COUNT",0
"292",16,13,"COUNT",0
"293",17,13,"COUNT",0
"294",18,13,"COUNT",0
"295",19,13,"COUNT",0
"296",20,13,"COUNT",0
"297",21,13,"COUNT",0
"298",22,13,"COUNT",0
"299",23,13,"COUNT",0
"300",1,14,"COUNT",0
"301",2,14,"COUNT",367
"302",3,14,"COUNT",0
"303",4,14,"COUNT",0
"304",5,14,"COUNT",0
"305",6,14,"COUNT",13
"306",7,14,"COUNT",0
"307",8,14,"COUNT",0
"308",9,14,"COUNT",0
"309",10,14,"COUNT",0
"310",11,14,"COUNT",0
"311",12,14,"COUNT",0
"312",13,14,"COUNT",191
"313",14,14,"COUNT",607459
"314",15,14,"COUNT",32
"315",16,14,"COUNT",0
"316",17,14,"COUNT",0
"317",18,14,"COUNT",0
"318",19,14,"COUNT",0
"319",20,14,"COUNT",16
"320",21,14,"COUNT",0
"321",22,14,"COUNT",0
"322",23,14,"COUNT",0
"323",1,15,"COUNT",0
"324",2,15,"COUNT",0
"325",3,15,"COUNT",0
"326",4,15,"COUNT",0
"327",5,15,"COUNT",0
"328",6,15,"COUNT",513
"329",7,15,"COUNT",0
"330",8,15,"COUNT",0
"331",9,15,"COUNT",68
