"","V1"
"1",562823
"2",804099
"3",0
"4",53
"5",2638
"6",20902
"7",13633
"8",40086
"9",496425
"10",15608
"11",91149
"12",42032
"13",1571955
"14",608078
"15",112101
"16",22578
"17",1874
"18",10761
"19",2474
"20",111939
"21",0
"22",0
"23",942
