Proporsi PDRB
0.882742
0.916597
0.812556
0.659069
0.806344
0.863351
0.852274
0.727353
0.560107
0.719222
0.346056
0.280449
0.678110
0.357838
0.450777
0.434796
0.340878
0.315698
0.266679
0.425167
0.308833
0.337415
0.366754
0.490113
0.340368
0.481144
0.032128
0.597773
0.698327
0.349584
0.683180
0.692998
0.358550
0.514675
0.333718
0.453880
0.349288
0.582331
0.603182
0.487757
0.635931
0.811405
0.661055
0.664759
0.617331
0.745396
0.634654
0.620789
0.577198
0.445347
0.566200
0.559630
