awal,akhir,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
Semak.belukar,Hutan.lahan.kering.sekunder...bekas.tebangan,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346,36.1729346
Lahan.terbuka,Hutan.lahan.kering.sekunder...bekas.tebangan,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321,120.0937321
