Pertambangan Migas,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Pertambangan Migas,26528028.96,27854430.4,29247151.92,30709509.52,32244985,33857234.25,35550095.96,37327600.76,39193980.79,41153679.83,43211363.83,45371932.02,47640528.62,50022555.05,52523682.8,55149866.94,,Pertambangan Migas,36197840.23,38007732.24,39908118.85,41903524.79,43998701.03,46198636.08,48508567.89,50933996.28,53480696.1,56154730.9,58962467.45,61910590.82,65006120.36,68256426.38,71669247.7,75252710.08
Pertambangan Non Migas,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Pertambangan Non Migas,22024932.84,23126179.48,24282488.46,25496612.88,26771443.52,28110015.7,29515516.48,30991292.31,32540856.92,34167899.77,35876294.76,37670109.5,39553614.97,41531295.72,43607860.51,45788253.53,,Pertambangan Non Migas,22559415.93,23687386.73,24871756.06,26115343.87,27421111.06,28792166.61,30231774.94,31743363.69,33330531.87,34997058.47,36746911.39,38584256.96,40513469.81,42539143.3,44666100.47,46899405.49
Penggalian,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Penggalian,128108.5973,134514.0272,141239.7286,148301.715,155716.8008,163502.6408,171677.7728,180261.6615,189274.7445,198738.4818,208675.4059,219109.1762,230064.635,241567.8667,253646.26,266328.573,,Penggalian,21073799.22,22127489.18,23233863.64,24395556.82,25615334.66,26896101.4,28240906.47,29652951.79,31135599.38,32692379.35,34326998.31,36043348.23,37845515.64,39737791.42,41724681,43810915.04
Industri Penggilingan Padi,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Penggilingan Padi,11456476.59,12029300.42,12630765.45,13262303.72,13925418.9,14621689.85,15352774.34,16120413.06,16926433.71,17772755.4,18661393.17,19594462.82,20574185.97,21602895.26,22683040.03,23817192.03,,Industri Penggilingan Padi,11598351.7,12178269.29,12787182.75,13426541.89,14097868.99,14802762.44,15542900.56,16320045.59,17136047.87,17992850.26,18892492.77,19837117.41,20828973.28,21870421.94,22963943.04,24112140.19
Industri Minyak Hewani dan Nabati,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Minyak Hewani dan Nabati,32635672.54,34267456.17,35980828.98,37779870.43,39668863.95,41652307.14,43734922.5,45921668.63,48217752.06,50628639.66,53160071.64,55818075.23,58608978.99,61539427.94,64616399.33,67847219.3,,Industri Minyak Hewani dan Nabati,48100334.85,50505351.59,53030619.17,55682150.13,58466257.63,61389570.52,64459049.04,67682001.49,71066101.57,74619406.65,78350376.98,82267895.83,86381290.62,90700355.15,95235372.91,99997141.55
Industri Makanan dan Minuman lainnya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Makanan dan Minuman lainnya,1397835.315,1467727.081,1541113.435,1618169.106,1699077.562,1784031.44,1873233.012,1966894.662,2065239.395,2168501.365,2276926.433,2390772.755,2510311.393,2635826.963,2767618.311,2905999.226,,Industri Makanan dan Minuman lainnya,3742925.313,3930071.578,4126575.157,4332903.915,4549549.111,4777026.566,5015877.895,5266671.789,5530005.379,5806505.648,6096830.93,6401672.477,6721756.101,7057843.906,7410736.101,7781272.906
Industri Tekstil dan Pakain Jadi,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Tekstil dan Pakain Jadi,997.9179404,1047.813837,1100.204529,1155.214756,1212.975494,1273.624268,1337.305482,1404.170756,1474.379293,1548.098258,1625.503171,1706.77833,1792.117246,1881.723108,1975.809264,2074.599727,,Industri Tekstil dan Pakain Jadi,146018.8605,153319.8035,160985.7937,169035.0834,177486.8376,186361.1794,195679.2384,205463.2003,215736.3603,226523.1784,237849.3373,249741.8041,262228.8944,275340.3391,289107.356,303562.7238
"Industri Kayu,barang-barang dari kayu dan Furniture",5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,"Industri Kayu,barang-barang dari kayu dan Furniture",641128.1337,673184.5404,706843.7674,742185.9558,779295.2536,818260.0163,859173.0171,902131.6679,947238.2513,994600.1639,1044330.172,1096546.681,1151374.015,1208942.715,1269389.851,1332859.344,,"Industri Kayu,barang-barang dari kayu dan Furniture",1171823.825,1230415.016,1291935.767,1356532.555,1424359.183,1495577.142,1570355.999,1648873.799,1731317.489,1817883.363,1908777.531,2004216.408,2104427.228,2209648.59,2320131.019,2436137.57
Industri Karet dan barang-barang dari karet,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Karet dan barang-barang dari karet,18770210.25,19708720.76,20694156.8,21728864.64,22815307.87,23956073.27,25153876.93,26411570.77,27732149.31,29118756.78,30574694.62,32103429.35,33708600.82,35394030.86,37163732.4,39021919.02,,Industri Karet dan barang-barang dari karet,18856799.06,19799639.01,20789620.96,21829102.01,22920557.11,24066584.97,25269914.22,26533409.93,27860080.42,29253084.44,30715738.67,32251525.6,33864101.88,35557306.97,37335172.32,39201930.94
Industri Kimia dan barang-barang dr kimia,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Kimia dan barang-barang dr kimia,4763134.199,5001290.909,5251355.455,5513923.228,5789619.389,6079100.358,6383055.376,6702208.145,7037318.552,7389184.48,7758643.704,8146575.889,8553904.684,8981599.918,9430679.914,9902213.909,,Industri Kimia dan barang-barang dr kimia,9590790.316,10070329.83,10573846.32,11102538.64,11657665.57,12240548.85,12852576.29,13495205.11,14169965.36,14878463.63,15622386.81,16403506.15,17223681.46,18084865.53,18989108.81,19938564.25
