"","year","GDP"
"1","y2010","110196953.540963"
"2","y2011","226198478.511048"
"3","y2012","347690619.79272"
"4","y2013","475257368.132211"
"5","y2014","609202453.894173"
"6","y2015","749844793.942555"
"7","y2016","897829008.609378"
"8","y2017","1053200043.70531"
"9","y2018","1216327116.3415"
"10","y2019","1387597903.26135"
"11","y2020","1567419463.78505"
"12","y2021","1756219208.93543"
"13","y2022","1954445919.01039"
"14","y2023","2162570812.02848"
"15","y2024","2381088665.62007"
"16","y2025","2610518994.95749"
"17","y2026","2851065124.54629"
"18","y2027","3103638560.61415"
"19","y2028","3368840668.49781"
"20","y2029","3647651924.39718"
"21","y2030","3940386290.97773"
