"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",-113.831729104385,2068.66446156869,-2088.42422996889,-0.000184290063771186,6.6001388404402e-05,0.000252057361649349,1354.90824831889,-149.712887845428,-145.123025760495,-141.072829562527,-137.528192420319,-134.459344246461,-131.837415176167,-129.638401664226,-127.838605458834,-126.417882141803,-706.996427035709,-1.41222553793341e-05,-3.91673602280207e-05,445.224692676835,-127.231256991217
"2",-587.908571020336,10684.0647761987,-10786.118373866,-0.000951805865042843,0.000340878439601511,0.00130180473206565,6997.71652770974,-773.224571401312,-749.519236419641,-728.601122974796,-710.29407812006,-694.444348309858,-680.902828788356,-669.545548227528,-660.250111730333,-652.91247910299,-3651.43587319163,-7.29374005459249e-05,-0.000202288327272981,2299.45916601253,-657.113329212007
"3",-184.702502462794,3356.59930507781,-3388.66135577062,-0.000299027664368623,0.000107093354017707,0.000408986368711339,2198.46387349748,-242.922999156901,-235.475523681482,-228.903705981393,-223.152204583559,-218.172714790431,-213.918392441432,-210.350289742346,-207.42995412719,-205.124699104606,-1147.16705405228,-2.29146535275504e-05,-6.35526666883379e-05,722.418218153121,-206.444475036595
"4",-60.7675666302928,1104.32922769302,-1114.87771958173,-9.8380818599253e-05,3.52339702658355e-05,0.000134557497403875,723.299891098626,-79.9222497887531,-77.4720124796913,-75.3098686925332,-73.4176109085129,-71.7793468001582,-70.3796645510447,-69.2057502232783,-68.2449527574026,-67.4865183578513,-377.420714146869,-7.53897984395735e-06,-2.09089848794974e-05,237.677327677935,-67.92072778906
"5",-77.9601429647628,1416.76998516681,-1430.30289396883,-0.000126215069940372,4.52024905825965e-05,0.000172626983840019,927.938471766654,-102.534137299292,-99.3906700962871,-96.616804886482,-94.1891828142543,-92.08741521099,-90.2917298600878,-88.7856875025391,-87.5530578001817,-86.5800444511369,-484.201926480026,-9.67193773249164e-06,-2.68246221821755e-05,304.921843565251,-87.1371019540602
"6",-62.9653600117474,1144.2697358775,-1155.19973695577,-0.000101938978332328,3.65082851203624e-05,0.000139424068038352,749.459630633348,-82.8128146350136,-80.2739590701367,-78.0336165594745,-76.0729211147427,-74.3754055568097,-72.925100718021,-71.7087291677126,-70.7131823298514,-69.9273174845912,-391.070968593751,-7.81164271757007e-06,-2.166520425817e-05,246.273453638765,-70.377231063896
"7",-51.3929525773417,933.964329702307,-942.885505429977,-8.32036075735232e-05,2.97984252028982e-05,0.000113799308564921,611.716398347252,-67.5926422888351,-65.5204031347366,-63.6918133243998,-62.0914742039859,-60.7059451419245,-59.522191910708,-58.5293773625272,-57.716802150524,-57.075371448951,-319.196010978631,-6.37594348518178e-06,-1.76833527802955e-05,201.010840261388,-57.4425953800164
"8",-325.750143634588,5919.85864147476,-5976.40480691892,-0.000527379448612919,0.000188874939340167,0.000721307871572208,3877.31575495615,-428.430588708856,-415.295865710541,-403.705494467024,-393.561872293139,-384.779806447186,-377.276680753435,-370.983804741685,-365.833361344237,-361.767703873658,-2023.1985360666,-4.04134043492377e-05,-0.000112084526335821,1274.09122857399,-364.095323518937
"9",-467.527130429578,8496.37238009894,-8577.52925969784,-0.000756912028009538,0.000271079421509057,0.00103524435689906,5564.84883499503,-614.897422504684,-596.046043599941,-579.411168342383,-564.852714197201,-552.248409498236,-541.479681197787,-532.447942127881,-525.055859372427,-519.220696343225,-2903.75990253498,-5.80026244278997e-05,-0.000160867319209501,1828.61689368341,-522.561371311022
"10",-35.3885962043279,643.117098538838,-649.26011716075,-5.72930475755129e-05,2.05188525796984e-05,7.83608957135584e-05,421.220878040078,-46.5435162639105,-45.11659621531,-43.8574503039818,-42.7554751701809,-41.8014158051337,-40.9862969403566,-40.3026562542072,-39.7431263060371,-39.3014444967757,-219.794702886196,-4.39040013588965e-06,-1.21765515359584e-05,138.413753273111,-39.5543106797741
