"","year","GDP"
"1","y2010","110304653.86804"
"2","y2011","226414956.168427"
"3","y2012","348016962.55371"
"4","y2013","475694674.647889"
"5","y2014","609751833.80208"
"6","y2015","750507367.97657"
"7","y2016","898605908.710821"
"8","y2017","1054092413.13479"
"9","y2018","1217336109.79229"
"10","y2019","1388724686.97366"
"11","y2020","1568665215.66155"
"12","y2021","1757585118.65778"
"13","y2022","1955933188.15704"
"14","y2023","2164180654.19361"
"15","y2024","2382822306.53387"
"16","y2025","2612377672.60749"
"17","y2026","2853050089.29987"
"18","y2027","3105751075.34229"
"19","y2028","3371082008.7003"
"20","y2029","3650023378.32877"
"21","y2030","3942889159.77571"
