"","year","emIntensity"
"1","y2010","0.00858885475277119"
"2","y2011","0.0311741542541934"
"3","y2012","0.0473375188380283"
"4","y2013","0.0756677085861598"
"5","y2014","0.109378363468246"
"6","y2015","0.148038622985151"
"7","y2016","0.194638799074854"
"8","y2017","0.241762196632766"
"9","y2018","0.292858882963477"
"10","y2019","0.347670350721817"
"11","y2020","0.405971202797797"
"12","y2021","0.467565819092532"
"13","y2022","0.532285432738986"
"14","y2023","0.599985553526349"
"15","y2024","0.670543696482521"
"16","y2025","0.743857364731997"
"17","y2026","0.818947134163225"
"18","y2027","0.897706933782277"
"19","y2028","0.979008710385304"
"20","y2029","1.06340969276377"
"21","y2030","1.14954473180531"
