"","year","emIntensity"
"1","y2010","-0.011927394435576"
"2","y2011","0.0103491014506293"
"3","y2012","0.0262457950737522"
"4","y2013","0.0543310090624615"
"5","y2014","0.0878208386161826"
"6","y2015","0.126281587842443"
"7","y2016","0.172698857490766"
"8","y2017","0.219658799971479"
"9","y2018","0.270606682746566"
"10","y2019","0.325282320347024"
"11","y2020","0.383458839338604"
"12","y2021","0.444939320216827"
"13","y2022","0.509553851907977"
"14","y2023","0.577156936205574"
"15","y2024","0.647625199741612"
"16","y2025","0.720855362299962"
"17","y2026","0.795867667796293"
"18","y2027","0.874554531254158"
"19","y2028","0.955787923420034"
"20","y2029","1.04012439819661"
"21","y2030","1.12619891791612"
