"","year","emission"
"1","y2010","-1315647.1147638"
"2","y2011","1270883.55677682"
"3","y2012","3203953.3962407"
"4","y2013","6789809.26199454"
"5","y2014","11279360.6725245"
"6","y2015","16692923.9746178"
"7","y2016","23567253.8744027"
"8","y2017","30868891.1786795"
"9","y2018","39185811.8997574"
"10","y2019","48556591.6345844"
"11","y2020","59024905.2191504"
"12","y2021","70639791.7028257"
"13","y2022","83455959.3253643"
"14","y2023","97534130.3265954"
"15","y2024","112941427.903664"
"16","y2025","129751804.677377"
"17","y2026","147805197.522846"
"18","y2027","167689445.507234"
"19","y2028","189243177.270443"
"20","y2029","212768109.054258"
"21","y2030","237976390.534583"
