"","year","emission"
"1","y2010","946465.628161206"
"2","y2011","3566394.81223229"
"3","y2012","5530116.58583873"
"4","y2013","9144106.77184865"
"5","y2014","13659483.3311216"
"6","y2015","19096752.6964568"
"7","y2016","25992843.1584271"
"8","y2017","33314454.214237"
"9","y2018","41649707.0767755"
"10","y2019","51037310.2919785"
"11","y2020","61521060.4921427"
"12","y2021","73150108.3512241"
"13","y2022","85979264.4416831"
"14","y2023","100069344.837865"
"15","y2024","115487558.790056"
"16","y2025","132307937.841467"
"17","y2026","150370491.249864"
"18","y2027","170263124.463664"
"19","y2028","191824526.993473"
"20","y2029","215356470.889555"
"21","y2030","240571156.983772"
