"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",-1.19692473956415e-05,0.000207110092705834,-0.00019917903809501,-1.64869449472901e-11,5.82040839136599e-12,2.04300252930334e-11,0.000106227380032614,-1.12688110078959e-05,-1.04129054365109e-05,-9.64926089958365e-06,-8.96714255104532e-06,-8.35717886369107e-06,-7.81100293037722e-06,-7.32137115785686e-06,-6.88178564129142e-06,-6.48658653919698e-06,-3.4055866797212e-05,-4.40047737831906e-13,-1.74103353262067e-12,1.84358371004994e-05,-5.1299159180211e-06
"2",-0.000267544088331097,0.00462977265476904,-0.00445217422084631,-3.75233327049029e-10,1.28935133403285e-10,4.67956798311242e-10,0.00237500202057665,-0.000251360980872438,-0.000232206589331159,-0.00021511965716281,-0.000199859392310181,-0.000186215692387463,-0.00017400089986945,-0.000163052644594444,-0.000153225238867127,-0.000144391821250568,-0.000761238002530661,-1.98568800291454e-11,-3.32991967333385e-11,0.000412675238859996,-0.000114097604569222
"3",-0.00021403100103266,0.00370261555014672,-0.00356166836020296,-2.9765856099373e-10,9.88612004759748e-11,3.7684032283547e-10,0.0018980457687015,-0.000202950422158614,-0.000187707473858524,-0.000174100169742748,-0.000161938692094341,-0.000151057351493726,-0.000141308088636403,-0.000132562768536862,-0.000124706361469711,-0.000117638647390381,-0.000608978257800888,-1.35473438023226e-11,-1.33345418040776e-11,0.00032805745862332,-9.32941806827819e-05
"4",-0.000495626645435022,0.00857769775891534,-0.00824767309655817,-7.05242315934829e-10,2.29214626445984e-10,8.5670737864918e-10,0.00440143996254518,-0.000463956922096942,-0.00042840062035629,-0.00039669083679722,-0.000368379033582458,-0.000343073726503579,-0.000320425495880364,-0.000300131951857713,-0.000281921789939077,-0.00026555883779672,-0.00141019688011002,-2.20944096351872e-11,-8.48581899193235e-11,0.00076636386617257,-0.000209538001217979
"5",-0.000284522749574933,0.0049162518538965,-0.00473471440942379,-3.95225723676118e-10,1.40078237204078e-10,4.89355403421321e-10,0.00251326356968706,-0.000279431729684469,-0.000259583298201013,-0.00024181471461833,-0.000225888139830495,-0.000211595712583307,-0.000198751226297859,-0.000187193475367185,-0.000176777309445854,-0.000167376228663356,-0.000809547053345856,-1.58884502776679e-11,-4.04943162335414e-11,0.000425376265170058,-0.000134448077715899
"6",-0.000331575847737841,0.00573807472986834,-0.0055177202942256,-4.627012488434e-10,1.53819068593464e-10,5.72461737735619e-10,0.00294384174111373,-0.00031110461536786,-0.000287348122038462,-0.000266157954984816,-0.000247235099016502,-0.000230318591496859,-0.000215175445618304,-0.000201604012010699,-0.000189423388066372,-0.000178476099638711,-0.000943426330465305,-9.61795920684239e-12,-5.05166602993157e-11,0.000511903287619297,-0.000140955918996932
"7",-0.000426579191919289,0.00738296920415391,-0.00709866140826628,-5.99052391025978e-10,1.95912001899057e-10,7.43694897331615e-10,0.00378870202049476,-0.000398891778754552,-0.000368270454291858,-0.000340963981672944,-0.000316585688631466,-0.000294798084244624,-0.000275299885346664,-0.000257830478478965,-0.000242155994784166,-0.000228072883846325,-0.00121373752154462,-3.52817219884116e-11,-4.38850206174735e-11,0.000660077265424316,-0.000179881768087156
"8",-0.000317827297614647,0.00549733001930561,-0.00528893203271318,-4.47130540925933e-10,1.48260213134188e-10,5.55936331692042e-10,0.00281698624327271,-0.000302865406631422,-0.00028029447820023,-0.000260137745513186,-0.00024211566399758,-0.00022598402390063,-0.000211524672163274,-0.000198548726628438,-0.00018688655761822,-0.000176390440785705,-0.000904307835241411,-2.52464299466126e-11,-4.70772726357538e-11,0.000485491179622807,-0.000140152247134831
"9",-0.000297624385230563,0.00514926034373864,-0.00495273739340817,-4.20230052144976e-10,1.38979709685128e-10,5.14749069757681e-10,0.0026402538433679,-0.000281345875605167,-0.000260112109862293,-0.000241161325542305,-0.000224228303249092,-0.000209081478702099,-0.000195514058063395,-0.000183346995421711,-0.000172419618738998,-0.000162592020021904,-0.000846824876788284,-2.41785827470586e-11,-3.7794253837653e-11,0.000457154222471945,-0.000128790522295266
"10",-0.000313921831206613,0.00543322999291606,-0.00522394156250505,-4.44768690627262e-10,1.44543696456445e-10,5.34607615121363e-10,0.0027882355732609,-0.000293439305472973,-0.000270900307445573,-0.000250801782255894,-0.000232858984030269,-0.000216823460175181,-0.000202473362485238,-0.000189616783550291,-0.000178081545054949,-0.000167717770413502,-0.000893195697113706,-1.65363001070062e-11,-4.99155439204202e-11,0.000485873584394017,-0.000132259971664286
