"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",2697.77621460716,5064.24101461487,7449.57829259086,9866.54972768497,12327.4231535174,14844.2812259713,17429.2475627902,20094.6671241239,22853.2542663295,25718.2251732029,28703.4112296408,31823.3763169416,35093.5220604526,38530.2000580147,42150.8220112611,45973.9759203565,50019.5481838271,54308.850082692,58864.7548800178,63711.8421965173,68876.5528860799
"2",13933.2484162471,26155.3674110097,38474.9574086603,50957.9288353198,63667.6415967255,76666.4991395968,90017.1165737687,103783.252050716,118030.571631495,132827.333230806,148244.97188146,164358.705981259,181248.080532968,198997.546945833,217697.031679704,237442.536481599,258336.768921236,280489.795775159,304019.750849942,329053.581106434,355727.845829188
"3",4377.39127607919,8217.199157331,12087.6293784747,16009.3889446904,20002.3835446342,24086.218411415,28280.5652387025,32605.4548482936,37081.5174779457,41730.1975984021,46573.9379122129,51636.369668277,56942.483393267,62518.8111083449,68393.6049273857,74597.0254961792,81161.3404832227,88121.1292815281,95513.505906263,103378.353159466,111758.573633207
"4",1440.17223637556,2703.47824522496,3976.85907848953,5267.12738952271,6580.83219685703,7924.42366971266,9304.37384209514,10727.272905017,12199.9082533227,13729.3351725137,15322.9373579218,16988.4895527874,18734.2137073081,20568.8389168393,22501.6601715857,24542.600440438,26702.275817711,28992.0630392405,31424.1727048439,34011.7263120843,36768.8389649996
"5",1847.63089371018,3468.35593710364,5102.00621015531,6757.32182401834,8442.70467269177,10166.4298323423,11936.8004198996,13762.2711547439,15651.5497351875,17613.6875633059,19658.1573575736,21794.933514937,24034.5641598583,26388.2480641939,28867.9099919115,31486.2803532435,34256.9787711903,37194.6007510851,40314.8115397979,43634.445032009,47171.609815138
"6",1492.25924898408,2801.25551333688,4120.69097865262,5457.6246941054,6818.84254033688,8211.02796934673,9640.88709094022,11115.2484442122,12641.1449043401,14225.8869264859,15877.125262601,17602.9158332131,19411.7779644645,21312.7564461512,23315.4824517805,25430.2378409216,27668.0226502517,30040.6250891634,32560.6973747755,35241.8355798909,38098.6653121221
"7",1217.99682876156,2286.41258770358,3363.34892731749,4454.56751275787,5565.60704519215,6701.92262715706,7868.98785083148,9072.37624216077,10317.8280953272,11611.3102845252,12959.0674214976,14367.6748369822,15844.0860821925,17395.6836099393,19030.328481559,20756.4128443175,22582.9150483452,24519.4567378298,26576.3647755484,28764.7364244877,31096.5092396997
"8",7720.17605562669,14492.2443875431,21318.3197544218,28234.9219846141,35277.1577261289,42479.6036889181,49876.9538498909,57504.5354464463,65398.7330067222,73597.3669951807,82140.0184640845,91068.3645554905,100426.479851896,110261.157430834,120622.223971055,131562.872473969,143140.011448912,155414.626985252,168452.17506459,182322.994735139,197102.751312601
"9",11080.2460972884,20799.7373581357,30596.7412464181,40523.6722382879,50630.9164847989,60968.099638957,71585.0155277864,82532.3671097083,93862.3744746691,105629.318852591,117890.008255397,130704.259003978,144135.328442302,158250.375408068,173120.912848994,188823.285018007,205439.168862698,223056.093684093,241768.00387619,261675.852405623,282888.236573941
"10",838.698611182698,1574.39741829893,2315.96339749313,3067.3639690782,3832.41301605377,4614.8668610089,5418.49455200048,6247.13396134063,7104.73778738207,7995.41475093499,8923.46481496467,9893.41568786339,10910.0554947218,11978.4677102543,13104.0653727743,14292.627216324,15550.3356327582,16883.8159700585,18300.1791992391,19807.0667494739,21412.698701832
"11",-0.208530630586209,-0.391451806306313,-0.575831772346454,-0.76265697111403,-0.952875672103294,-1.14742183133369,-1.34723257078233,-1.55326212146394,-1.76649326837101,-1.98794758578822,-2.21869420142756,-2.45985886258702,-2.71263207241814,-2.97827776472293,-3.25814181526937,-3.55366102565246,-3.86637255832035,-4.19792371714733,-4.550082541603,-4.92474896819943,-5.32396680193859
