HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC,ROWSUM
0,0,0,0,107.2187186,198.5504899,0,230.5231474,0,0,0,0,0,0,0.020033968,0.184051903,-11.34064231,0,3.248729413,0,0,0,0,0,0,0,528.4045288
0,0,0,0,43.28375455,80.15478399,0,93.06213795,0,0,0,0,0,0,0.008111839,0.074537178,-4.577918056,0,1.311511266,0,0,0,0,0,0,0,213.3169187
0,0,0,0,22.41435524,41.41409042,0,48.08301643,0,0,0,0,0,0,0.004188394,0.038511606,-2.401419267,0,0.677627005,0,0,0,0,0,0,0,110.2303698
0,0,0,0,29.64488381,54.89747082,0,63.73763047,0,0,0,0,0,0,0.005554325,0.05105001,-3.135479528,0,0.898245218,0,0,0,0,0,0,0,146.0993551
0,0,0,0,4.646438848,8.601856125,0,9.987016138,0,0,0,0,0,0,0.000869944,0.007998999,-0.492292961,0,0.140745576,0,0,0,0,0,0,0,22.89263267
0,0,0,0,2.802513047,5.189647285,0,6.025338071,0,0,0,0,0,0,0.000524384,0.004825934,-0.296464675,0,0.084914219,0,0,0,0,0,0,0,13.81129827
0,0,0,0,33.404648,61.85997913,0,71.82131403,0,0,0,0,0,0,0.006254752,0.057498108,-3.533128865,0,1.012167403,0,0,0,0,0,0,0,164.6287326
3569.76914,0.387584154,0,0,13.89990403,25.73917855,0,462.048487,22.46986504,0,6.202741779,1854.323935,0,0,0.002603119,0.023935262,-1.470547691,0,5.029598146,0,0,0,0,0,0,0,5958.426425
178.7637592,0.019409145,0,0,0.696066117,1.288947023,0,23.13811302,1.125228827,0,0.310616189,92.85942494,0,0,1.30E-04,0.001198612,-0.073639035,0,0.251868395,0,0,0,0,0,0,0,298.3811228
1669.921702,0.181312465,0,0,6.502257991,12.04082741,0,216.1469946,10.51143751,0,2.901652168,867.4555961,0,0,0.001218171,0.011196953,-0.687825701,0,2.352853768,0,0,0,0,0,0,0,2787.339224
