"","x"
"y2016",5824515479.85817
"y2017",3760483766.19588
"y2018",3948437459.91669
"y2019",4145788837.94561
"y2020",4353007785.1799
"y2021",4570587680.05919
"y2022",4799046569.25739
"y2023",5038928402.90543
"y2024",5290804328.20059
"y2025",5555274050.10425
"y2026",8077412382.85132
"y2027",6124545126.17296
"y2028",6430701887.53465
"y2029",6752166487.37328
"y2030",7089704317.07646
