"","x"
"y2016",14474121.7750385
"y2017",41883268.3343533
"y2018",44077884.921431
"y2019",46374503.7024307
"y2020",48778406.399728
"y2021",51295134.5387301
"y2022",53930502.5784543
"y2023",56690611.603282
"y2024",59581863.791768
"y2025",62610977.5593239
"y2026",42949745.8238922
"y2027",71583594.9576316
"y2028",75193622.2209606
"y2029",78978057.8122503
"y2030",82945765.2941957
