id.sector;sector;PDRB_2015;Prop PDRB;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
32;Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor;198283018;1;208197168;218607027;229537378;241014247;253064960;265718208;279004118;292954324;307602040;322982142;339131249;356087812;373892202;392586812;412216153
33;Angkutan Rel;984205;0;1033415;1085086;1139340;1196307;1256122;1318928;1384875;1454118;1526824;1603166;1683324;1767490;1855865;1948658;2046091
34;Angkutan Darat;73136273;1;76793086;80632740;84664377;88897596;93342476;98009600;102910080;108055584;113458363;119131281;125087845;131342238;137909350;144804817;152045058
35;Angkutan Laut;212803;0;223443;234616;246346;258664;271597;285177;299436;314407;330128;346634;363966;382164;401272;421336;442403
36;Angkutan Sungai Danau dan Penyeberangan;1253;0;1315;1381;1450;1523;1599;1679;1763;1851;1943;2040;2143;2250;2362;2480;2604
37;Angkutan Udara;8514181;0;8939890;9386885;9856229;10349041;10866493;11409817;11980308;12579324;13208290;13868704;14562140;15290247;16054759;16857497;17700372
38;Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir;3250349;1;3412866;3583510;3762685;3950819;4148360;4355778;4573567;4802246;5042358;5294476;5559200;5837160;6129018;6435469;6757242
39;Penyediaan Akomodasi;6326031;1;6642333;6974449;7323172;7689330;8073797;8477487;8901361;9346429;9813750;10304438;10819660;11360643;11928675;12525109;13151364
40;Penyediaan Makan Minum;32005395;0;33605665;35285948;37050245;38902757;40847895;42890290;45034805;47286545;49650872;52133416;54740086;57477091;60350945;63368493;66536917
41;Informasi dan Komunikasi;39942518;1;41939644;44036626;46238458;48550381;50977900;53526795;56203134;59013291;61963956;65062154;68315261;71731024;75317576;79083454;83037627
42;Jasa Perantara Keuangan;30313635;1;31829316;33420782;35091821;36846412;38688733;40623169;42654328;44787044;47026397;49377716;51846602;54438932;57160879;60018923;63019869
43;Asuransi dan Dana Pensiun;3197817;1;3357708;3525593;3701873;3886967;4081315;4285381;4499650;4724632;4960864;5208907;5469352;5742820;6029961;6331459;6648032
44;Jasa Keuangan Lainnya;4754737;1;4992474;5242098;5504202;5779413;6068383;6371802;6690392;7024912;7376158;7744966;8132214;8538825;8965766;9414054;9884757
45;Jasa Penunjang Keuangan;526197;1;552507;580133;609139;639596;671576;705155;740412;777433;816305;857120;899976;944975;992224;1041835;1093926
46;Real Estate;14257351;1;14970219;15718730;16504666;17329900;18196394;19106214;20061525;21064601;22117831;23223723;24384909;25604154;26884362;28228580;29640009
47;Jasa Perusahaan;6308344;1;6623761;6954949;7302697;7667832;8051223;8453784;8876474;9320297;9786312;10275628;10789409;11328879;11895323;12490090;13114594
48;Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib;36546404;1;38373724;40292410;42307030;44422382;46643501;48975676;51424460;53995683;56695467;59530240;62506753;65632090;68913695;72359379;75977348
49;Jasa Pendidikan;38546383;1;40473702;42497387;44622256;46853369;49196037;51655839;54238631;56950563;59798091;62787996;65927395;69223765;72684953;76319201;80135161
50;Jasa Kesehatan dan Kegiatan Sosial;10569727;0;11098213;11653124;12235780;12847569;13489947;14164445;14872667;15616300;16397115;17216971;18077820;18981711;19930796;20927336;21973703
51;Jasa lainnya;27421465;1;28792539;30232165;31743774;33330962;34997511;36747386;38584755;40513993;42539693;44666677;46900011;49245012;51707263;54292626;57007257
52;Lainnya;15726;1;16512;17337;18204;19115;20070;21074;22127;23234;24396;25615;26896;28241;29653;31136;32692
