"","1","2","6","7","8","9","12","13","14","15","16","18","19","20","21","23"
"1",13916,1018,0,0,0,0,0,26,0,0,0,56,0,0,0,0
"2",0,165638,0,0,2,0,4,2403,0,0,10,276,0,0,0,0
"3",0,367,1131,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,463441,1489,0,0,20,410,0,185,1134,0,0,0,0
"5",0,0,0,0,169805,0,0,2,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,3477,0,12,0,0,8,0,0,0,0,0
"7",0,0,0,0,239,0,880298,6,18,0,17,0,0,0,0,0
"8",0,0,0,0,0,0,0,739381,77,0,9,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,871479,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,71366,0,0,0,0,0,0
"11",0,0,0,0,2,0,0,0,0,0,310969,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,10097,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,1663,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,30572,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418
