"","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"1","x1","x2",0,0,0,"0","0","0","x30",0,0,"0","x52","0","0","0",0,"x90","0","0","0",0,"0"
"2","0","x3",0,0,0,"0","x11","x20","x31",0,0,"x40","x53","0","0","x78",0,"x91","x102","0","0",0,"0"
"3","0","0",0,0,0,"0","0","0","0",0,0,"0","0","0","0","0",0,"0","0","0","0",0,"0"
"4","0","0",0,0,0,"0","0","0","0",0,0,"0","0","0","0","0",0,"0","0","0","0",0,"0"
"5","0","0",0,0,0,"0","0","0","0",0,0,"0","0","0","0","0",0,"0","0","0","0",0,"0"
"6","0","x4",0,0,0,"x7","0","0","x32",0,0,"0","0","0","0","x79",0,"x92","x103","x112","0",0,"0"
"7","0","0",0,0,0,"0","x12","x21","x33",0,0,"x41","x54","x64","0","x80",0,"x93","0","0","0",0,"0"
"8","0","0",0,0,0,"0","x13","x22","x34",0,0,"x42","x55","x65","0","x81",0,"x94","x104","x113","0",0,"0"
"9","0","x5",0,0,0,"0","x14","x23","x35",0,0,"x43","x56","x66","0","x82",0,"x95","x105","x114","0",0,"x125"
"10","0","0",0,0,0,"0","0","0","0",0,0,"0","0","0","0","0",0,"0","0","0","0",0,"0"
"11","0","0",0,0,0,"0","0","0","0",0,0,"0","0","0","0","0",0,"0","0","0","0",0,"0"
"12","0","0",0,0,0,"0","x15","x24","x36",0,0,"x44","x57","x67","x74","x83",0,"x96","x106","x115","0",0,"x126"
"13","0","x6",0,0,0,"0","x16","x25","0",0,0,"x45","x58","x68","0","x84",0,"x97","x107","x116","0",0,"0"
"14","0","0",0,0,0,"0","x17","x26","x37",0,0,"x46","x59","x69","x75","x85",0,"x98","x108","x117","0",0,"x127"
"15","0","0",0,0,0,"x8","0","0","0",0,0,"0","0","x70","x76","0",0,"0","0","x118","0",0,"0"
"16","0","0",0,0,0,"0","x18","x27","x38",0,0,"x47","x60","x71","x77","x86",0,"x99","x109","x119","0",0,"x128"
"17","0","0",0,0,0,"0","0","0","0",0,0,"0","0","0","0","0",0,"0","0","0","0",0,"0"
"18","0","0",0,0,0,"0","x19","x28","x39",0,0,"x48","x61","x72","0","x87",0,"x100","x110","x120","0",0,"x129"
"19","0","0",0,0,0,"0","0","0","0",0,0,"x49","x62","0","0","0",0,"x101","x111","0","0",0,"0"
"20","0","0",0,0,0,"x9","0","x29","0",0,0,"x50","x63","x73","0","x88",0,"0","0","x121","x123",0,"0"
"21","0","0",0,0,0,"x10","0","0","0",0,0,"0","0","0","0","0",0,"0","0","x122","x124",0,"0"
"22","0","0",0,0,0,"0","0","0","0",0,0,"0","0","0","0","0",0,"0","0","0","0",0,"0"
"23","0","0",0,0,0,"0","0","0","0",0,0,"x51","0","0","0","x89",0,"0","0","0","0",0,"x130"
