y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
149206993.7,156667343.4,164500710.5,172725746.1,181362033.4,190430135,199951641.8,209949223.9,220446685.1,231469019.3,243042470.3,255194593.8,267954323.5,281352039.7,295419641.6,295419641.6
669556.908,703034.7534,738186.4911,775095.8156,813850.6064,854543.1367,897270.2936,942133.8083,989240.4987,1038702.524,1090637.65,1145169.532,1202428.009,1262549.409,1325676.88,1325676.88
2897.926492,3042.822817,3194.963958,3354.712156,3522.447763,3698.570152,3883.498659,4077.673592,4281.557272,4495.635135,4720.416892,4956.437737,5204.259624,5464.472605,5737.696235,5737.7
25594588.28,26874317.7,28218033.58,29628935.26,31110382.02,32665901.12,34299196.18,36014155.99,37814863.79,39705606.98,41690887.33,43775431.69,45964203.28,48262413.44,50675534.11,50675534.11
5860697.351,6153732.218,6461418.829,6784489.77,7123714.259,7479899.972,7853894.97,8246589.719,8658919.205,9091865.165,9546458.423,10023781.34,10524970.41,11051218.93,11603779.88,11603779.88
11012145.34,11562752.61,12140890.24,12747934.75,13385331.49,14054598.06,14757327.96,15495194.36,16269954.08,17083451.78,17937624.37,18834505.59,19776230.87,20765042.41,21803294.53,21803294.53
68898404.4,72343324.62,75960490.85,79758515.39,83746441.16,87933763.22,92330451.38,96946973.95,101794322.6,106884038.8,112228240.7,117839652.8,123731635.4,129918217.2,136414128,136414128
65949981.01,69247480.06,72709854.06,76345346.76,80162614.1,84170744.81,88379282.05,92798246.15,97438158.46,102310066.4,107425569.7,112796848.2,118436690.6,124358525.1,130576451.4,130576451.4
39227424.34,41188795.55,43248235.33,45410647.1,47681179.45,50065238.43,52568500.35,55196925.37,57956771.63,60854610.22,63897340.73,67092207.76,70446818.15,73969159.06,77667617.01,77667617.01
5079318.557,5333284.485,5599948.71,5879946.145,6173943.452,6482640.625,6806772.656,7147111.289,7504466.853,7879690.196,8273674.706,8687358.441,9121726.363,9577812.681,10056703.32,10056703.32
7510198.034,7885707.936,8279993.332,8693992.999,9128692.649,9585127.281,10064383.65,10567602.83,11095982.97,11650782.12,12233321.22,12844987.28,13487236.65,14161598.48,14869678.41,14869678.41
894993.6565,939743.3394,986730.5063,1036067.032,1087870.383,1142263.902,1199377.097,1259345.952,1322313.25,1388428.912,1457850.358,1530742.876,1607280.02,1687644.021,1772026.222,1772026.22
20083584.24,21087763.45,22142151.62,23249259.2,24411722.16,25632308.27,26913923.68,28259619.87,29672600.86,31156230.9,32714042.45,34349744.57,36067231.8,37870593.39,39764123.06,39764123.06
10436806.59,10958646.92,11506579.27,12081908.23,12686003.64,13320303.82,13986319.02,14685634.97,15419916.71,16190912.55,17000458.18,17850481.09,18743005.14,19680155.4,20664163.17,20664163.17
61814478.47,64905202.39,68150462.51,71557985.63,75135884.91,78892679.16,82837313.12,86979178.77,91328137.71,95894544.6,100689271.8,105723735.4,111009922.2,116560418.3,122388439.2,122388439.2
70120999.76,73627049.75,77308402.24,81173822.35,85232513.47,89494139.14,93968846.1,98667288.4,103600652.8,108780685.5,114219719.7,119930705.7,125927241,132223603.1,138834783.2,138834783.2
24920366.17,26166384.48,27474703.7,28848438.89,30290860.83,31805403.87,33395674.07,35065457.77,36818730.66,38659667.19,40592650.55,42622283.08,44753397.23,46991067.09,49340620.45,49340620.45
50852198.9,53394808.84,56064549.29,58867776.75,61811165.59,64901723.87,68146810.06,71554150.56,75131858.09,78888451,82832873.55,86974517.22,91323243.08,95889405.24,100683875.5,100683875.5
29504.9685,30980.21693,32529.22777,34155.68916,35863.47362,37656.6473,39539.47966,41516.45365,43592.27633,45771.89015,48060.48465,50463.50889,52986.68433,55636.01855,58417.81947,58417.82
