y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
71036653.55,72457386.63,73906534.36,75384665.05,76892358.35,78430205.51,79998809.62,81598785.82,83230761.53,84895376.76,86593284.30,88325149.98,90091652.98,91893486.04,93731355.76,95605982.88
26201807.21,26725843.35,27260360.22,27805567.43,28361678.77,28928912.35,29507490.60,30097640.41,30699593.22,31313585.08,31939856.78,32578653.92,33230227.00,33894831.54,34572728.17,35264182.73
12526626.98,12777159.52,13032702.71,13293356.76,13559223.90,13830408.38,14107016.54,14389156.88,14676940.01,14970478.81,15269888.39,15575286.16,15886791.88,16204527.72,16528618.27,16859190.64
25716141.52,26230464.35,26755073.63,27290175.11,27835978.61,28392698.18,28960552.14,29539763.19,30130558.45,30733169.62,31347833.01,31974789.67,32614285.47,33266571.18,33931902.60,34610540.65
2493365.38,2543232.68,2594097.34,2645979.28,2698898.87,2752876.85,2807934.38,2864093.07,2921374.93,2979802.43,3039398.48,3100186.45,3162190.18,3225433.98,3289942.66,3355741.52
1441699.35,1470533.34,1499944.00,1529942.88,1560541.74,1591752.58,1623587.63,1656059.38,1689180.57,1722964.18,1757423.46,1792571.93,1828423.37,1864991.84,1902291.68,1940337.51
17055014.88,17396115.17,17744037.48,18098918.23,18460896.59,18830114.52,19206716.81,19590851.15,19982668.17,20382321.54,20789967.97,21205767.33,21629882.67,22062480.33,22503729.93,22953804.53
23934114.60,24412796.89,24901052.83,25399073.89,25907055.37,26425196.47,26953700.40,27492774.41,28042629.90,28603482.50,29175552.15,29759063.19,30354244.45,30961329.34,31580555.93,32212167.05
1602777.36,1634832.91,1667529.57,1700880.16,1734897.76,1769595.72,1804987.63,1841087.38,1877909.13,1915467.31,1953776.66,1992852.19,2032709.24,2073363.42,2114830.69,2157127.31
10831364.35,11047991.64,11268951.47,11494330.50,11724217.11,11958701.45,12197875.48,12441832.99,12690669.65,12944483.05,13203372.71,13467440.16,13736788.96,14011524.74,14291755.24,14577590.34
72136879.81,73579617.40,75051209.75,76552233.95,78083278.63,79644944.20,81237843.08,82862599.94,84519851.94,86210248.98,87934453.96,89693143.04,91487005.90,93316746.02,95183080.94,97086742.56
236167187.60,240890531.30,245708342.00,250622508.80,255634959.00,260747658.20,265962611.30,271281863.50,276707500.80,282241650.80,287886483.80,293644213.50,299517097.80,305507439.70,311617588.50,317849940.30
4446955.61,4535894.73,4626612.62,4719144.87,4813527.77,4909798.33,5007994.29,5108154.18,5210317.26,5314523.61,5420814.08,5529230.36,5639814.97,5752611.27,5867663.49,5985016.76
254269549.10,259354940.00,264542038.80,269832879.60,275229537.20,280734127.90,286348810.50,292075786.70,297917302.40,303875648.50,309953161.50,316152224.70,322475269.20,328924774.60,335503270.10,342213335.50
19430061.73,19818662.96,20215036.22,20619336.94,21031723.68,21452358.16,21881405.32,22319033.43,22765414.09,23220722.38,23685136.82,24158839.56,24642016.35,25134856.68,25637553.81,26150304.89
14557919.38,14849077.76,15146059.32,15448980.51,15757960.12,16073119.32,16394581.70,16722473.34,17056922.81,17398061.26,17746022.49,18100942.94,18462961.80,18832221.03,19208865.45,19593042.76
46540445.81,47471254.73,48420679.82,49389093.42,50376875.29,51384412.79,52412101.05,53460343.07,54529549.93,55620140.93,56732543.75,57867194.62,59024538.51,60205029.28,61409129.87,62637312.47
116907879.40,119246037.00,121630957.70,124063576.90,126544848.40,129075745.40,131657260.30,134290405.50,136976213.60,139715737.90,142510052.70,145360253.70,148267458.80,151232808.00,154257464.10,157342613.40
72788818.17,74244594.53,75729486.42,77244076.15,78788957.67,80364736.83,81972031.56,83611472.20,85283701.64,86989375.67,88729163.19,90503746.45,92313821.38,94160097.81,96043299.76,97964165.76
27233882.87,27778560.52,28334131.73,28900814.37,29478830.66,30068407.27,30669775.41,31283170.92,31908834.34,32547011.03,33197951.25,33861910.27,34539148.48,35229931.45,35934530.08,36653220.68
58075981.11,59237500.73,60422250.74,61630695.76,62863309.67,64120575.87,65402987.38,66711047.13,68045268.08,69406173.44,70794296.91,72210182.84,73654386.50,75127474.23,76630023.71,78162624.19
435030812.10,443731428.40,452606056.90,461658178.10,470891341.60,480309168.50,489915351.80,499713658.90,509707932.10,519902090.70,530300132.50,540906135.20,551724257.90,562758743.00,574013917.90,585494196.20
165660170.80,168973374.20,172352841.70,175799898.60,179315896.50,182902214.50,186560258.70,190291463.90,194097293.20,197979239.10,201938823.80,205977600.30,210097152.30,214299095.40,218585077.30,222956778.80
263190139.40,268453942.20,273823021.10,279299481.50,284885471.10,290583180.50,296394844.10,302322741.00,308369195.80,314536579.80,320827311.40,327243857.60,333788734.70,340464509.40,347273799.60,354219275.60
10294808.88,10500705.06,10710719.16,10924933.54,11143432.21,11366300.86,11593626.87,11825499.41,12062009.40,12303249.59,12549314.58,12800300.87,13056306.89,13317433.03,13583781.69,13855457.32
14970752.86,15270167.91,15575571.27,15887082.70,16204824.35,16528920.84,16859499.25,17196689.24,17540623.02,17891435.48,18249264.19,18614249.48,18986534.47,19366265.16,19753590.46,20148662.27
69968106.72,71367468.86,72794818.23,74250714.60,75735728.89,77250443.47,78795452.34,80371361.38,81978788.61,83618364.38,85290731.67,86996546.31,88736477.23,90511206.78,92321430.91,94167859.53
16891684.42,17229518.10,17574108.47,17925590.64,18284102.45,18649784.50,19022780.19,19403235.79,19791300.51,20187126.52,20590869.05,21002686.43,21422740.16,21851194.96,22288218.86,22733983.24
1685103.45,1718805.51,1753181.62,1788245.26,1824010.16,1860490.37,1897700.17,1935654.18,1974367.26,2013854.60,2054131.70,2095214.33,2137118.62,2179860.99,2223458.21,2267927.37
391130764.90,398953380.20,406932447.80,415071096.80,423372518.70,431839969.10,440476768.40,449286303.80,458272029.90,467437470.50,476786219.90,486321944.30,496048383.20,505969350.80,516088737.90,526410512.60
