"","V1","V2"
"1",1,1
"2",2,1
"3",6,1
"4",7,1
"5",8,1
"6",9,1
"7",12,1
"8",13,1
"9",14,1
"10",15,1
"11",16,1
"12",18,0.943745253336226
"13",19,1
"14",20,1
"15",21,1
"16",23,1
