id.sector;sector;FD_2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
18;Industri Kimia Farmasi dan Obat Tradisional;34669951;36403448;38223621;40134802;42141542;44248619;46461050;48784102;51223307;53784473;56473696;59297381;62262250;65375363;68644131;72076337
19;Industri Karet Barang dari Karet dan Plastik;10669843;11203335;11763502;12351677;12969261;13617724;14298610;15013541;15764218;16552429;17380050;18249052;19161505;20119580;21125559;22181837
20;Industri Barang Galian bukan Logam;1702201;1787311;1876677;1970511;2069036;2172488;2281113;2395168;2514927;2640673;2772707;2911342;3056909;3209755;3370242;3538754
21;Industri Logam Dasar;29319483;30785457;32324730;33940966;35638015;37419915;39290911;41255457;43318229;45484141;47758348;50146265;52653579;55286257;58050570;60953099
22;Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik;213261084;223924139;235120346;246876363;259220181;272181190;285790250;300079762;315083750;330837938;347379835;364748826;382986268;402135581;422242360;443354478
23;Industri Mesin dan Perlengkapan YTDL;82697246;86832108;91173714;95732400;100519020;105544971;110822219;116363330;122181496;128290571;134705100;141440355;148512373;155937991;163734891;171921635
24;Industri Alat Angkutan;146874732;154218469;161929392;170025862;178527155;187453513;196826188;206667498;217000873;227850916;239243462;251205635;263765917;276954213;290801924;305342020
25;Industri Furnitur;5734774;6021513;6322588;6638718;6970654;7319186;7685146;8069403;8472873;8896517;9341342;9808410;10298830;10813772;11354460;11922183
26;Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan;8612198;9042808;9494948;9969696;10468180;10991589;11541169;12118227;12724139;13360346;14028363;14729781;15466270;16239584;17051563;17904141
27;Ketenagalistrikan;20564510;21592735;22672372;23805991;24996290;26246105;27558410;28936330;30383147;31902304;33497420;35172291;36930905;38777450;40716323;42752139
28;Pengadaan Gas dan Produksi Es;8265082;8678336;9112253;9567866;10046259;10548572;11076001;11629801;12211291;12821855;13462948;14136095;14842900;15585045;16364297;17182512
29;Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang;748974;786423;825744;867031;910382;955901;1003697;1053881;1106575;1161904;1219999;1280999;1345049;1412302;1482917;1557063
30;Konstruksi;291099570;305654549;320937276;336984140;353833347;371525015;390101265;409606329;430086645;451590977;474170526;497879052;522773005;548911655;576357238;605175100
31;Perdagangan Mobil Sepeda Motor dan Reparasinya;13478162;14152070;14859673;15602657;16382790;17201929;18062026;18965127;19913383;20909052;21954505;23052230;24204842;25415084;26685838;28020130
32;Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor;151572648;159151280;167108844;175464286;184237501;193449376;203121844;213277937;223941833;235138925;246895871;259240665;272202698;285812833;300103475;315108648
33;Angkutan Rel;1415631;1486412;1560733;1638769;1720708;1806743;1897080;1991934;2091531;2196108;2305913;2421209;2542269;2669383;2802852;2942994
34;Angkutan Darat;87297471;91662345;96245462;101057735;106110622;111416153;116986960;122836308;128978124;135427030;142198382;149308301;156773716;164612401;172843021;181485173
35;Angkutan Laut;125599;131879;138473;145397;152667;160300;168315;176731;185567;194846;204588;214817;225558;236836;248678;261112
36;Angkutan Sungai Danau dan Penyeberangan;44;46;48;51;53;56;59;62;65;68;71;75;79;83;87;91
37;Angkutan Udara;13326952;13993300;14692965;15427613;16198994;17008944;17859391;18752360;19689978;20674477;21708201;22793611;23933292;25129956;26386454;27705777
38;Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir;1661532;1744609;1831839;1923431;2019603;2120583;2226612;2337943;2454840;2577582;2706461;2841784;2983873;3133067;3289720;3454206
39;Penyediaan Akomodasi;5279685;5543669;5820853;6111895;6417490;6738364;7075283;7429047;7800499;8190524;8600050;9030053;9481555;9955633;10453415;10976086
40;Penyediaan Makan Minum;57428874;60300317;63315333;66481100;69805155;73295413;76960183;80808192;84848602;89091032;93545584;98222863;103134006;108290706;113705242;119390504
41;Informasi dan Komunikasi;36296676;38111510;40017086;42017940;44118837;46324779;48641018;51073069;53626722;56308058;59123461;62079634;65183616;68442797;71864936;75458183
42;Jasa Perantara Keuangan;17345044;18212297;19122911;20079057;21083010;22137160;23244018;24406219;25626530;26907857;28253250;29665912;31149208;32706668;34342001;36059101
43;Asuransi dan Dana Pensiun;2919183;3065142;3218399;3379319;3548285;3725700;3911985;4107584;4312963;4528611;4755042;4992794;5242434;5504555;5779783;6068772
44;Jasa Keuangan Lainnya;3165890;3324185;3490394;3664914;3848159;4040567;4242596;4454725;4677462;4911335;5156901;5414746;5685484;5969758;6268246;6581658
45;Jasa Penunjang Keuangan;63389;66559;69887;73381;77050;80903;84948;89195;93655;98338;103254;108417;113838;119530;125506;131782
46;Real Estate;13611283;14291847;15006440;15756762;16544600;17371830;18240421;19152442;20110064;21115567;22171346;23279913;24443909;25666104;26949409;28296880
47;Jasa Perusahaan;3085902;3240197;3402207;3572317;3750933;3938479;4135403;4342173;4559282;4787246;5026609;5277939;5541836;5818928;6109874;6415368
48;Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib;54581865;57310958;60176506;63185331;66344597;69661827;73144919;76802165;80642273;84674387;88908106;93353511;98021187;102922246;108068358;113471776
49;Jasa Pendidikan;56934682;59781416;62770487;65909012;69204462;72664685;76297920;80112816;84118456;88324379;92740598;97377628;102246509;107358835;112726777;118363115
50;Jasa Kesehatan dan Kegiatan Sosial;21501842;22576934;23705781;24891070;26135624;27442405;28814525;30255251;31768014;33356415;35024235;36775447;38614220;40544931;42572177;44700786
51;Jasa lainnya;29239335;30701302;32236367;33848186;35540595;37317625;39183506;41142681;43199815;45359806;47627796;50009186;52509645;55135128;57891884;60786478
52;Lainnya;28100;29505;30980;32529;34156;35863;37657;39539;41516;43592;45772;48060;50464;52987;55636;58418
