ID;Sektor;Total;Padat_Ditimbun_di_TPA;Padat_Ditimbun_Lubang;Padat_Kompos;Padat_3R;Padat_ins_sampah_domestik;Padat_ins_sampah_industri;Padat_dibakar_terbuka;Padat_tidak_terkelola;Cair_septic_tank;Cair_MCK_plus;Cair_IPAL_Aerob;Cair_IPAL_Anaerob;Cair_tidak_terkelola;Cair_Biogas;Cair_Pengolahan_KIMIA;Cair_3R
11;Industri Batubara dan Pengilangan Migas;1702307115;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
12;Industri Makanan dan Minuman;72448456;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
13;Pengolahan Tembakau;21459845;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
14;Industri Tekstil dan Pakaian Jadi;1356963755;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
15;Industri Kulit, Barang dari Kulit dan Alas Kaki;17134377;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
16;Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya;26647611;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
17;Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman;291237655;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
18;Industri Kimia, Farmasi dan Obat Tradisional;108519167;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
19;Industri Karet, Barang dari Karet dan Plastik;370880925;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
20;Industri Barang Galian bukan Logam;144275855;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
21;Industri Logam Dasar;26049931;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
22;Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik;881641865;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
23;Industri Mesin dan Perlengkapan YTDL;1794169085;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
24;Industri Alat Angkutan;148448047;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
25;Industri Furnitur;79338405;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
26;Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan;147112425;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
27;Ketenagalistrikan;1340307783;0.000000;0.000000;0.007475;0.977901;0.000000;0.000000;0.000000;0.014625;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
28;Pengadaan Gas dan Produksi Es;6488550171;0.646011;0.000000;0.169770;0.170768;0.000000;0.000000;0.000000;0.000000;0.009901;0.000000;0.000000;0.000129;0.003421;0.000000;0.000000;0.000000
29;Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;3391412.49;0.000935;0.000435;0.000089;0.014048;0.000000;0.000000;0.001939;0.000752;0.722705;0.000000;0.000000;0.009425;0.249672;0.000000;0.000000;0.000000
30;Konstruksi;1522448815;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
31;Perdagangan Mobil, Sepeda Motor dan Reparasinya;10933688;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
