"","year","GDP"
"1","y2015","1527207863.84463"
"2","y2016","3147906724.05988"
"3","y2017","4846082619.48978"
"4","y2018","6629451626.58624"
"5","y2019","8502323689.69925"
"6","y2020","10469235563.4215"
"7","y2021","12535013240.8009"
"8","y2022","14705361658.8955"
"9","y2023","16984861032.7026"
"10","y2024","19379054120.9826"
"11","y2025","21893769342.3416"
"12","y2026","24534764831.5122"
"13","y2027","27309228720.4783"
"14","y2028","30223569559.2585"
"15","y2029","33284918427.4919"
"16","y2030","36500776682.426"
