"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-14547729.0522847"
"3","y2017","-22424611.848212"
"4","y2018","-30429786.6001254"
"5","y2019","-38394922.959001"
"6","y2020","-46251721.6425713"
"7","y2021","-53967583.6970512"
"8","y2022","-61634412.0896249"
"9","y2023","-68697920.4331841"
"10","y2024","-74841771.8851641"
"11","y2025","-80008622.4920545"
"12","y2026","-84124067.1608136"
"13","y2027","-87148863.7066648"
"14","y2028","-88977399.5048448"
"15","y2029","-89537566.5655241"
"16","y2030","-88738817.7144133"
