"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.00877521833924025"
"3","y2017","-0.0135511623361926"
"4","y2018","-0.0180755338146752"
"5","y2019","-0.0223622239863682"
"6","y2020","-0.0263884734276306"
"7","y2021","-0.0301524429214536"
"8","y2022","-0.0337026063747044"
"9","y2023","-0.0368273783018472"
"10","y2024","-0.0394149777430685"
"11","y2025","-0.041486483365406"
"12","y2026","-0.0430606245018816"
"13","y2027","-0.0441547811859465"
"14","y2028","-0.044785024660531"
"15","y2029","-0.0449659533287764"
"16","y2030","-0.0447105076039373"
