"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-14674014.3144367"
"3","y2017","-22543117.8962575"
"4","y2018","-30549349.5477522"
"5","y2019","-38515584.7165427"
"6","y2020","-46373524.6262724"
"7","y2021","-54090570.5735148"
"8","y2022","-61758625.4677116"
"9","y2023","-68823402.482618"
"10","y2024","-74968563.8511609"
"11","y2025","-80136764.1119797"
"12","y2026","-84253595.8263633"
"13","y2027","-87279813.4507331"
"14","y2028","-89109799.8069671"
"15","y2029","-89671440.4336073"
"16","y2030","-88874179.6455075"
