"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.00229175998430947"
"3","y2017","-0.00019085421434686"
"4","y2018","0.00182464601791312"
"5","y2019","0.00384892937608906"
"6","y2020","0.00587077532675892"
"7","y2021","0.00788164631743408"
"8","y2022","0.00986614983176587"
"9","y2023","0.0118450326771946"
"10","y2024","0.0138051550504886"
"11","y2025","0.0157464695802813"
"12","y2026","0.0176740660213108"
"13","y2027","0.0195780222425162"
"14","y2028","0.0214724825889451"
"15","y2029","0.0233574115670803"
"16","y2030","0.0252372865120242"
