"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",9835.49274243657,26458.4607106168,28484.0167123249,30296.0465400851,31963.5116771416,33537.9039340665,35059.3248955431,36560.2938879117,38068.89925315,39610.6189297041,41209.9023699161,42891.8785941306,44683.3859040429,46614.3256493519,48719.3957116332,51039.3973686864
"2",15483.3315257689,41651.712805967,44840.4045975049,47692.9569999219,50317.9313074022,52796.387411196,55191.4545364871,57554.3255385081,59929.2179377967,62356.239881911,64873.8804582287,67521.6985435201,70341.9437932169,73381.6878112524,76695.553061529,80347.7701757595
"3",4268.57284168303,11482.8885359051,12361.9734507434,13148.3886842543,13872.0632987567,14555.3445697968,15215.6364735472,15867.0522856293,16521.7822647985,17190.8837362044,17884.9677028959,18614.9400870954,19392.4486068974,20230.4703730465,21144.0641384162,22150.9375389885
"4",10173.4838232865,27367.6905848623,29462.8536487398,31337.152841449,33061.9194671985,34690.4148078794,36264.1185417099,37816.6674710135,39377.1151948339,40971.8151921824,42626.0570906106,44365.8334680499,46218.904889352,48216.2002723327,50393.6098726824,52793.3370634364
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",349.257693069015,939.53818015659,1011.4655388023,1075.81059747759,1135.02217375528,1190.92873769844,1244.95429515414,1298.25360434085,1351.82408045292,1406.5704433429,1463.36089199796,1523.08775583711,1586.70406123062,1655.27160360911,1730.02250092342,1812.40560607053
"7",8191.55439363767,22036.1018751507,23723.0994309103,25232.2603050215,26621.0195497338,27932.2624138722,29199.3878166961,30449.4796411003,31705.9314768278,32989.9627782697,34321.936447968,35722.7813356824,37214.8499088781,38823.0456826447,40576.2670448511,42508.4955881806
"8",7474.54996232967,20107.2881336368,21646.6232740634,23023.6877304659,24290.8892553418,25487.3594144239,26643.5736805809,27784.2453291913,28930.7202965838,30102.3606980714,31317.7470895449,32595.9764238976,33957.4446508972,35424.8755086917,37024.6378983568,38787.7390207057
"9",63.1771959338425,169.952985640747,182.963919704863,194.603292170243,205.314069564294,215.427003401099,225.199682032441,234.840989719783,244.531348907168,254.434414023693,264.707233680635,275.511221269216,287.018769629932,299.421946833973,312.943630762092,327.845903804198
"10",2072.91591947653,5576.35147128386,6003.25507266781,6385.15616992516,6736.5889999903,7068.40590354061,7389.05864737913,7705.40096142053,8023.35270520751,8348.2835799439,8685.34652007665,9039.83768643645,9417.41348446041,9824.37588466043,10268.0377686322,10756.9983625614
"11",27889.5658950165,75025.7260087365,80769.4013787863,85907.6010212915,90635.8724054553,95100.2259048794,99414.3737980957,103670.528001253,107948.335910489,112320.04289455,116854.977948518,121624.397045752,126704.402939075,132179.78405051,138148.929851189,144727.536635544
"12",79523.3041395271,213925.654062816,230302.963246508,244953.840843145,258435.863510464,271165.360351073,283466.566417512,295602.411338806,307799.998770186,320265.32658201,333196.077160864,346795.427145246,361280.373031925,376892.677593884,393912.885026083,412670.887598735
"13",2056.2306875336,5531.46652676258,5954.93391150527,6333.76102568423,6682.36511589777,7011.51117377143,7329.58293295575,7643.37895672769,7958.77145631804,8281.0869082383,8615.4367747775,8967.07458535366,9341.61121571019,9745.2979107925,10185.3886900261,10670.4135617555
