"","year","emIntensity"
"1","y2015","-0.00361389513062479"
"2","y2016","-0.00943640541422279"
"3","y2017","-0.0140514140461196"
"4","y2018","-0.0185244622761823"
"5","y2019","-0.0227638171514439"
"6","y2020","-0.0267466677002212"
"7","y2021","-0.0304717743412579"
"8","y2022","-0.0339957364681035"
"9","y2023","-0.0370871673591574"
"10","y2024","-0.0396471839369413"
"11","y2025","-0.0416966878857808"
"12","y2026","-0.0432506869325974"
"13","y2027","-0.0443373452093116"
"14","y2028","-0.0449618237652938"
"15","y2029","-0.0451423823985973"
"16","y2030","-0.0448730146312152"
