"","year","emission"
"1","y2015","1168175.313"
"2","y2016","4184410.17341074"
"3","y2017","7575274.4489435"
"4","y2018","11172522.0668776"
"5","y2019","14967775.0294898"
"6","y2020","18949979.5113213"
"7","y2021","23112838.6684198"
"8","y2022","27453930.5724187"
"9","y2023","31974160.0637522"
"10","y2024","36677456.660665"
"11","y2025","41570666.2989568"
"12","y2026","46663609.4949993"
"13","y2027","51969295.3971358"
"14","y2028","57504295.4766247"
"15","y2029","63289291.6496469"
"16","y2030","69349824.8831891"
