"","year","emIntensity"
"1","y2016","0.00140062050634253"
"2","y2017","0.00349786208679292"
"3","y2018","0.00551492943649779"
"4","y2019","0.00754087238670775"
"5","y2020","0.00956446220379236"
"6","y2021","0.0115771541638214"
"7","y2022","0.013563543460816"
"8","y2023","0.0155443880367993"
"9","y2024","0.0175065379428721"
"10","y2025","0.0194499439145405"
"11","y2026","0.0213796980928671"
"12","y2027","0.0232858687723605"
"13","y2028","0.0251826103273341"
"14","y2029","0.0270698863927266"
"15","y2030","0.0289521774919387"
