"","year","emIntensity"
"1","y2016","0.00187992356032009"
"2","y2017","0.00389275520089196"
"3","y2018","0.00592636351916122"
"4","y2019","0.00796968698988946"
"5","y2020","0.0100115134857203"
"6","y2021","0.0120442697878541"
"7","y2022","0.0140630559074209"
"8","y2023","0.0160649860935838"
"9","y2024","0.0180487376385482"
"10","y2025","0.0200142443163716"
"11","y2026","0.0219624939985915"
"12","y2027","0.0238954040984007"
"13","y2028","0.0258157581651856"
"14","y2029","0.0277271930036839"
"15","y2030","0.0296342301271852"
