"","year","GDP"
"1","y2015","1527207863.84463"
"2","y2016","3148669471.4249"
"3","y2017","4847608114.21982"
"4","y2018","6631739868.6813"
"5","y2019","8505374679.15933"
"6","y2020","10473049300.2466"
"7","y2021","12539589724.9911"
"8","y2022","14710700890.4507"
"9","y2023","16990963011.6228"
"10","y2024","19385918847.2678"
"11","y2025","21901396815.9918"
"12","y2026","24543155052.5274"
"13","y2027","27318381688.8586"
"14","y2028","30233485275.0039"
"15","y2029","33295596890.6023"
"16","y2030","36511455145.5364"
