Sektor;HCOAL;BCOAL;COKE;CRUDE;DIESEL;GASOLINE;JETFUEL;LFO;HFO;NAPHTA;OTHPETRO;NATGAS;OTHGAS;WASTE;BIOGASOL;BIODIESEL;BIOGAS;OTHRENEW;ELECTR;HEATPROD;NUCLEAR;HYDRO;GEOTHERM;SOLAR;WIND;OTHSOURC
Jasa Perantara Keuangan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Asuransi dan Dana Pensiun;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Jasa Keuangan Lainnya;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Jasa Penunjang Keuangan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Real Estate;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Jasa Perusahaan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Jasa Pendidikan;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Jasa Kesehatan dan Kegiatan Sosial;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Jasa lainnya;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Lainnya;1;1;1;1;1;0.78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
